nom_cle_comparaison_2019,nom_cle_comparaison_2026,nom_affiche_2019,nom_affiche_2026,provinces_2019,provinces_2026,listes_2019,listes_2026,methode_correspondance,confiance_correspondance,nb_tokens_communs,dice_tokens,jw_distance,tokens_nom_famille_communs,tokens_prenoms_communs,annee.x,nom_prenoms_2019,province_2019,numero_liste_2019,liste_id_2019,liste_nom_court_2019,camp_institutionnel_2019,famille_politique_2019,composante_politique_candidat_2019,axe_politique_2019,axe_politique_ordre_2019,rang_2019,tokens_nom_famille_2019,tokens_prenoms_2019,annee.y,nom_prenoms_2026,province_2026,numero_liste_2026,liste_id_2026,liste_nom_court_2026,camp_institutionnel_2026,famille_politique_2026,composante_politique_candidat_2026,axe_politique_2026,axe_politique_ordre_2026,rang_2026,tokens_nom_famille_2026,tokens_prenoms_2026,meme_province,meme_liste_court,meme_camp,meme_axe_politique
JUSTIN WEMA,JUSTIN WEMA,Justin WEMA,WEMA Justin” L,Province Nord,Province Nord,Province Nord - 06 - UC-FLNKS,Province Nord - 03 - UC-FLNKS,exact,haute,NA,NA,0,NA,NA,2019,Justin WEMA,Province Nord,6,2019_Province Nord_06,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,15,WEMA,JUSTIN,2026,WEMA Justin” L,Province Nord,3,2026_Province Nord_03,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,13,WEMA,JUSTIN,TRUE,TRUE,TRUE,TRUE
DEDANE FLORENTIN,DEDANE FLORENTIN,Florentin DEDANE,DEDANE Florentin,Province Nord,Province Nord,Province Nord - 06 - UC-FLNKS,Province Nord - 03 - UC-FLNKS,exact,haute,NA,NA,0,NA,NA,2019,Florentin DEDANE,Province Nord,6,2019_Province Nord_06,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,27,DEDANE,FLORENTIN,2026,DEDANE Florentin,Province Nord,3,2026_Province Nord_03,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,5,DEDANE,FLORENTIN,TRUE,TRUE,TRUE,TRUE
HENRI PEBOU STEEVE TIDJINE,HENRI PEBOU STEEVE TIDJINE,Henri Steeve PEBOU-TIDJINE,PEBOU TIDJINE Henri Steeve,Province Nord,Province Nord,Province Nord - 06 - UC-FLNKS,Province Nord - 03 - UC-FLNKS,exact,haute,NA,NA,0,NA,NA,2019,Henri Steeve PEBOU-TIDJINE,Province Nord,6,2019_Province Nord_06,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,29,PEBOU|TIDJINE,HENRI|STEEVE,2026,PEBOU TIDJINE Henri Steeve,Province Nord,3,2026_Province Nord_03,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,25,PEBOU|TIDJINE,HENRI|STEEVE,TRUE,TRUE,TRUE,TRUE
HOVEUREUX JEAN MICHEL,HOVEUREUX JEAN MICHEL,Jean-Michel HOVEUREUX,HOVEUREUX Jean Michel,Province Sud,Province Sud,Province Sud - 01 - MNIS Sud,Province Sud - 02 - Kanaky pour tous,exact,haute,NA,NA,0,NA,NA,2019,Jean-Michel HOVEUREUX,Province Sud,1,2019_Province Sud_01,MNIS Sud,Souverainiste / pro-pays transversal,Neo-independantiste / souverainiste,Neo-independantiste / souverainiste,Souverainiste / pro-pays,3,19,HOVEUREUX,JEAN|MICHEL,2026,HOVEUREUX Jean Michel,Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,29,HOVEUREUX,JEAN|MICHEL,TRUE,FALSE,FALSE,FALSE
BEANOU MICHEL,BEANOU MICHEL,Michel BEANOU,BEANOU Michel,Province Sud,Province Sud,Province Sud - 01 - MNIS Sud,Province Sud - 02 - Kanaky pour tous,exact,haute,NA,NA,0,NA,NA,2019,Michel BEANOU,Province Sud,1,2019_Province Sud_01,MNIS Sud,Souverainiste / pro-pays transversal,Neo-independantiste / souverainiste,Neo-independantiste / souverainiste,Souverainiste / pro-pays,3,35,BEANOU,MICHEL,2026,BEANOU Michel,Province Sud,2,2026_Province Sud_02,Kanaky pour tous,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,1,11,BEANOU,MICHEL,TRUE,FALSE,FALSE,FALSE
ALAIN DESCOMBELS,ALAIN DESCOMBELS,Alain DESCOMBELS,DESCOMBELS Alain,Province Sud,Province Sud,Province Sud - 02 - Rassemblement national,"Province Sud - 03 - France Caledonie, une patrie",exact,haute,NA,NA,0,NA,NA,2019,Alain DESCOMBELS,Province Sud,2,2019_Province Sud_02,Rassemblement national,Non-independantiste / droite nationale,Rassemblement national / droite nationale,Rassemblement national / droite nationale,Droite nationale anti-independantiste,7,1,DESCOMBELS,ALAIN,2026,DESCOMBELS Alain,Province Sud,3,2026_Province Sud_03,"France Caledonie, une patrie",Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,7,1,DESCOMBELS,ALAIN,TRUE,FALSE,TRUE,TRUE
BIANCA HENIN,BIANCA HENIN,Bianca HENIN,HENIN Bianca,Province Sud,Province Sud,Province Sud - 02 - Rassemblement national,Province Sud - 08 - Pour une Caledonie francaise,exact,haute,NA,NA,0,NA,NA,2019,Bianca HENIN,Province Sud,2,2019_Province Sud_02,Rassemblement national,Non-independantiste / droite nationale,Rassemblement national / droite nationale,Rassemblement national / droite nationale,Droite nationale anti-independantiste,7,2,HENIN,BIANCA,2026,HENIN Bianca,Province Sud,8,2026_Province Sud_08,Pour une Caledonie francaise,Non-independantiste / droite nationale,Voix du Caillou / Rassemblement national diss.,Voix du Caillou / Rassemblement national diss.,Droite nationale anti-independantiste,7,2,HENIN,BIANCA,TRUE,FALSE,TRUE,TRUE
BOURGINE CHRISTOPHER,BOURGINE CHRISTOPHER,Christopher BOURGINE,BOURGINE Christopher,Province Sud,Province Sud,Province Sud - 02 - Rassemblement national,Province Sud - 08 - Pour une Caledonie francaise,exact,haute,NA,NA,0,NA,NA,2019,Christopher BOURGINE,Province Sud,2,2019_Province Sud_02,Rassemblement national,Non-independantiste / droite nationale,Rassemblement national / droite nationale,Rassemblement national / droite nationale,Droite nationale anti-independantiste,7,3,BOURGINE,CHRISTOPHER,2026,BOURGINE Christopher,Province Sud,8,2026_Province Sud_08,Pour une Caledonie francaise,Non-independantiste / droite nationale,Voix du Caillou / Rassemblement national diss.,Voix du Caillou / Rassemblement national diss.,Droite nationale anti-independantiste,7,7,BOURGINE,CHRISTOPHER,TRUE,FALSE,TRUE,TRUE
JEAN MICHEL POILAGI,JEAN MICHEL POILAGI,Jean-Michel POILAGI,POILAGI Jean-Michel,Province Sud,Province Sud,Province Sud - 02 - Rassemblement national,"Province Sud - 03 - France Caledonie, une patrie",exact,haute,NA,NA,0,NA,NA,2019,Jean-Michel POILAGI,Province Sud,2,2019_Province Sud_02,Rassemblement national,Non-independantiste / droite nationale,Rassemblement national / droite nationale,Rassemblement national / droite nationale,Droite nationale anti-independantiste,7,5,POILAGI,JEAN|MICHEL,2026,POILAGI Jean-Michel,Province Sud,3,2026_Province Sud_03,"France Caledonie, une patrie",Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,7,11,POILAGI,JEAN|MICHEL,TRUE,FALSE,TRUE,TRUE
BROSSARD PATRICIA,BROSSARD PATRICIA,Patricia BROSSARD,BROSSARD Patricia,Province Sud,Province Sud,Province Sud - 02 - Rassemblement national,Province Sud - 08 - Pour une Caledonie francaise,exact,haute,NA,NA,0,NA,NA,2019,Patricia BROSSARD,Province Sud,2,2019_Province Sud_02,Rassemblement national,Non-independantiste / droite nationale,Rassemblement national / droite nationale,Rassemblement national / droite nationale,Droite nationale anti-independantiste,7,10,BROSSARD,PATRICIA,2026,BROSSARD Patricia,Province Sud,8,2026_Province Sud_08,Pour une Caledonie francaise,Non-independantiste / droite nationale,Voix du Caillou / Rassemblement national diss.,Voix du Caillou / Rassemblement national diss.,Droite nationale anti-independantiste,7,6,BROSSARD,PATRICIA,TRUE,FALSE,TRUE,TRUE
