nom_cle_comparaison_2019,nom_cle_comparaison_2026,nom_affiche_2019,nom_affiche_2026,provinces_2019,provinces_2026,listes_2019,listes_2026,methode_correspondance,confiance_correspondance,nb_tokens_communs,dice_tokens,jw_distance,tokens_nom_famille_communs,tokens_prenoms_communs,annee.x,nom_prenoms_2019,province_2019,numero_liste_2019,liste_id_2019,liste_nom_court_2019,camp_institutionnel_2019,famille_politique_2019,composante_politique_candidat_2019,axe_politique_2019,axe_politique_ordre_2019,rang_2019,tokens_nom_famille_2019,tokens_prenoms_2019,annee.y,nom_prenoms_2026,province_2026,numero_liste_2026,liste_id_2026,liste_nom_court_2026,camp_institutionnel_2026,famille_politique_2026,composante_politique_candidat_2026,axe_politique_2026,axe_politique_ordre_2026,rang_2026,tokens_nom_famille_2026,tokens_prenoms_2026,meme_province,meme_liste_court,meme_camp,meme_axe_politique
JOEL KASARHEROU,JOEL KASARHEROU,Joël KASARHEROU,. KASARHEROU Joël,Province Sud,Province Sud,Province Sud - 09 - Construire autrement,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,Joël KASARHEROU,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,1,KASARHEROU,JOEL,2026,. KASARHEROU Joël,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,3,KASARHEROU,JOEL,TRUE,FALSE,FALSE,FALSE
JEAN MICHEL TIVOLLIER,JEAN MICHEL TIVOLLIER,Jean-Michel TIVOLLIER,TIVOLLIER Jean-Michel,Province Sud,Province Sud,Province Sud - 09 - Construire autrement,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,Jean-Michel TIVOLLIER,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,15,TIVOLLIER,JEAN|MICHEL,2026,TIVOLLIER Jean-Michel,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,19,TIVOLLIER,JEAN|MICHEL,TRUE,FALSE,FALSE,FALSE
COLETTE SOENNE,COLETTE SOENNE,Colette SOENNE,SOENNE Colette,Province Sud,Province Sud,Province Sud - 09 - Construire autrement,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,Colette SOENNE,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,20,SOENNE,COLETTE,2026,SOENNE Colette,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,40,SOENNE,COLETTE,TRUE,FALSE,FALSE,FALSE
CHENIN CHRISTINE,CHENIN CHRISTINE,Christine CHENIN,CHENIN Christine,Province Sud,Province Sud,Province Sud - 09 - Construire autrement,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,Christine CHENIN,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,28,CHENIN,CHRISTINE,2026,CHENIN Christine,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,10,CHENIN,CHRISTINE,TRUE,FALSE,FALSE,FALSE
DAVID GARRIGOU,DAVID GARRIGOU,David GARRIGOU,GARRIGOU David,Province Sud,Province Sud,Province Sud - 09 - Construire autrement,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,David GARRIGOU,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,31,GARRIGOU,DAVID,2026,GARRIGOU David,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,9,GARRIGOU,DAVID,TRUE,FALSE,FALSE,FALSE
CATHY GOPEA,CATHY GOPEA,Cathy GOPEA,GOPEA Cathy,Province Sud,Province Sud,Province Sud - 09 - Construire autrement,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,Cathy GOPEA,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,36,GOPEA,CATHY,2026,GOPEA Cathy,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,16,GOPEA,CATHY,TRUE,FALSE,FALSE,FALSE
GEORGES PASSIL,GEORGES PASSIL,Georges PASSIL,PASSIL Georges,Province Sud,Province Sud,Province Sud - 09 - Construire autrement,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,Georges PASSIL,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,37,PASSIL,GEORGES,2026,PASSIL Georges,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,39,PASSIL,GEORGES,TRUE,FALSE,FALSE,FALSE
LAGABRIELLE LAURENCE PERRAUD,LAGABRIELLE LAURENCE PERRAUD,Laurence PERRAUD ép LAGABRIELLE,PERRAUD ep LAGABRIELLE Laurence,Province Sud,Province Sud,Province Sud - 09 - Construire autrement,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,Laurence PERRAUD ép LAGABRIELLE,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,38,PERRAUD|LAGABRIELLE,LAURENCE,2026,PERRAUD ep LAGABRIELLE Laurence,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,32,PERRAUD|LAGABRIELLE,LAURENCE,TRUE,FALSE,FALSE,FALSE
HERVE LAGABRIELLE,HERVE LAGABRIELLE,Hervé LAGABRIELLE,LAGABRIELLE Hervé,Province Sud,Province Sud,Province Sud - 09 - Construire autrement,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,Hervé LAGABRIELLE,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,39,LAGABRIELLE,HERVE,2026,LAGABRIELLE Hervé,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,29,LAGABRIELLE,HERVE,TRUE,FALSE,FALSE,FALSE
CHODEY JOELLE,CHODEY JOELLE,Joëlle CHODEY,CHODEY Joëlle,Province Sud,Province Sud,Province Sud - 09 - Construire autrement,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,Joëlle CHODEY,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,44,CHODEY,JOELLE,2026,CHODEY Joëlle,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,28,CHODEY,JOELLE,TRUE,FALSE,FALSE,FALSE
HERVE PRIGENT,HERVE PRIGENT,Hervé PRIGENT,PRIGENT Hervé,Province Sud,Province Sud,Province Sud - 09 - Construire autrement,Province Sud - 12 - Un espoir pour demain,exact,haute,NA,NA,0,NA,NA,2019,Hervé PRIGENT,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,47,PRIGENT,HERVE,2026,PRIGENT Hervé,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,31,PRIGENT,HERVE,TRUE,FALSE,FALSE,FALSE
BERNALEAU NOEL,BERNALEAU NOEL,Noël BERNALEAU,BERNALEAU Noël,Province Sud,Province Sud,Province Sud - 10 - Destin commun caledonien,Province Sud - 05 - Une Province pour tous,exact,haute,NA,NA,0,NA,NA,2019,Noël BERNALEAU,Province Sud,10,2019_Province Sud_10,Destin commun caledonien,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,11,BERNALEAU,NOEL,2026,BERNALEAU Noël,Province Sud,5,2026_Province Sud_05,Une Province pour tous,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,5,38,BERNALEAU,NOEL,TRUE,FALSE,FALSE,FALSE
SOANE TAFILAGI,SOANE TAFILAGI,Soane TAFILAGI,TAFILAGI Soane,Province Sud,Province Sud,Province Sud - 10 - Destin commun caledonien,Province Sud - 01 - Un autre monde est possible,exact,haute,NA,NA,0,NA,NA,2019,Soane TAFILAGI,Province Sud,10,2019_Province Sud_10,Destin commun caledonien,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,15,TAFILAGI,SOANE,2026,TAFILAGI Soane,Province Sud,1,2026_Province Sud_01,Un autre monde est possible,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,4,46,TAFILAGI,SOANE,TRUE,FALSE,FALSE,FALSE
METZDORF NICOLAS,METZDORF NICOLAS,Nicolas METZDORF,METZDORF Nicolas,Province Sud,Province Sud,Province Sud - 11 - Caledoniens Ensemble,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Nicolas METZDORF,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,3,METZDORF,NICOLAS,2026,METZDORF Nicolas,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Les Loyalistes,Loyaliste droite,6,2,METZDORF,NICOLAS,TRUE,FALSE,FALSE,FALSE
DUNOYER PHILIPPE,DUNOYER PHILIPPE,Philippe DUNOYER,DUNOYER Philippe,Province Sud,Province Sud,Province Sud - 11 - Caledoniens Ensemble,"Province Sud - 09 - Nous, reunis",exact,haute,NA,NA,0,NA,NA,2019,Philippe DUNOYER,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,5,DUNOYER,PHILIPPE,2026,DUNOYER Philippe,Province Sud,9,2026_Province Sud_09,"Nous, reunis",Non-independantiste / autonomiste modere,Caledonie Ensemble diss.,Caledonie Ensemble diss.,Centre non-independantiste,5,1,DUNOYER,PHILIPPE,TRUE,FALSE,TRUE,TRUE
JULIE NINA,JULIE NINA,Nina JULIE,JULIÉ Nina,Province Sud,Province Sud,Province Sud - 11 - Caledoniens Ensemble,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Nina JULIE,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,8,JULIE,NINA,2026,JULIÉ Nina,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Les Loyalistes,Loyaliste droite,6,7,JULIE,NINA,TRUE,FALSE,FALSE,FALSE
JEAN KAYS,JEAN KAYS,Jean KAYS,KAYS Jean,Province Sud,Province Sud,Province Sud - 11 - Caledoniens Ensemble,Province Sud - 05 - Une Province pour tous,exact,haute,NA,NA,0,NA,NA,2019,Jean KAYS,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,9,KAYS,JEAN,2026,KAYS Jean,Province Sud,5,2026_Province Sud_05,Une Province pour tous,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,5,13,KAYS,JEAN,TRUE,FALSE,TRUE,TRUE
CORINE VOISIN,CORINE VOISIN,Corine VOISIN,VOISIN Corine,Province Sud,Province Sud,Province Sud - 11 - Caledoniens Ensemble,Province Sud - 05 - Une Province pour tous,exact,haute,NA,NA,0,NA,NA,2019,Corine VOISIN,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,12,VOISIN,CORINE,2026,VOISIN Corine,Province Sud,5,2026_Province Sud_05,Une Province pour tous,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,5,20,VOISIN,CORINE,TRUE,FALSE,TRUE,TRUE
FIJALKOWSKI NICOLAS,FIJALKOWSKI NICOLAS,Nicolas FIJALKOWSKI,FIJALKOWSKI Nicolas,Province Sud,Province Sud,Province Sud - 11 - Caledoniens Ensemble,Province Sud - 10 - Les Loyalistes et Le Rassemblement,exact,haute,NA,NA,0,NA,NA,2019,Nicolas FIJALKOWSKI,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,15,FIJALKOWSKI,NICOLAS,2026,FIJALKOWSKI Nicolas,Province Sud,10,2026_Province Sud_10,Les Loyalistes et Le Rassemblement,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,36,FIJALKOWSKI,NICOLAS,TRUE,FALSE,FALSE,FALSE
ATITI JEREMY,ATITI JEREMY,Jérémy ATITI,ATITI Jérémy,Province Sud,Province Sud,Province Sud - 11 - Caledoniens Ensemble,Province Sud - 05 - Une Province pour tous,exact,haute,NA,NA,0,NA,NA,2019,Jérémy ATITI,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,21,ATITI,JEREMY,2026,ATITI Jérémy,Province Sud,5,2026_Province Sud_05,Une Province pour tous,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,5,27,ATITI,JEREMY,TRUE,FALSE,TRUE,TRUE
GHISLAIN SANTACROCE,GHISLAIN SANTACROCE,Ghislain SANTACROCE,SANTACROCE Ghislain,Province Sud,Province Sud,Province Sud - 11 - Caledoniens Ensemble,Province Sud - 05 - Une Province pour tous,exact,haute,NA,NA,0,NA,NA,2019,Ghislain SANTACROCE,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,27,SANTACROCE,GHISLAIN,2026,SANTACROCE Ghislain,Province Sud,5,2026_Province Sud_05,Une Province pour tous,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,5,50,SANTACROCE,GHISLAIN,TRUE,FALSE,TRUE,TRUE
LEME MICKAEL,LEME MICKAEL,Mickaël LEME,LEME Mickael,Province Sud,Province Sud,Province Sud - 11 - Caledoniens Ensemble,Province Sud - 05 - Une Province pour tous,exact,haute,NA,NA,0,NA,NA,2019,Mickaël LEME,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,31,LEME,MICKAEL,2026,LEME Mickael,Province Sud,5,2026_Province Sud_05,Une Province pour tous,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,5,40,LEME,MICKAEL,TRUE,FALSE,TRUE,TRUE
SONG THIERRY,SONG THIERRY,Thierry SONG,SONG Thierry,Province Sud,Province Sud,Province Sud - 11 - Caledoniens Ensemble,Province Sud - 05 - Une Province pour tous,exact,haute,NA,NA,0,NA,NA,2019,Thierry SONG,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,35,SONG,THIERRY,2026,SONG Thierry,Province Sud,5,2026_Province Sud_05,Une Province pour tous,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,5,21,SONG,THIERRY,TRUE,FALSE,TRUE,TRUE
FOURNIER RICHARD,FOURNIER RICHARD,Richard FOURNIER,FOURNIER Richard,Province Sud,Province Sud,Province Sud - 11 - Caledoniens Ensemble,Province Sud - 05 - Une Province pour tous,exact,haute,NA,NA,0,NA,NA,2019,Richard FOURNIER,Province Sud,11,2019_Province Sud_11,Caledoniens Ensemble,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,5,41,FOURNIER,RICHARD,2026,FOURNIER Richard,Province Sud,5,2026_Province Sud_05,Une Province pour tous,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,5,32,FOURNIER,RICHARD,TRUE,FALSE,TRUE,TRUE
JACQUES LALIE ZANEHNO,JACQUES LALIE ZANEHNO,"Jacques, Zanehno LALIE",LALIE JACQUES ZANEHNO,Province des Iles,Province des Iles,Province des Iles - 02 - UC-FLNKS,Province des Iles - 07 - Union pour construire dans le consensus,exact,haute,NA,NA,0,NA,NA,2019,"Jacques, Zanehno LALIE",Province des Iles,2,2019_Province des Iles_02,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,1,LALIE,JACQUES|ZANEHNO,2026,LALIE JACQUES ZANEHNO,Province des Iles,7,2026_Province des Iles_07,Union pour construire dans le consensus,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,1,1,LALIE,JACQUES|ZANEHNO,TRUE,FALSE,TRUE,TRUE
CHARLES HNANIENE YEIWENE,CHARLES HNANIENE YEIWENE,"Charles, Hnaniéné YEIWENE",YEIWENE Charles Hnaniéné,Province des Iles,Province des Iles,Province des Iles - 02 - UC-FLNKS,Province des Iles - 05 - UC-FLNKS Iles,exact,haute,NA,NA,0,NA,NA,2019,"Charles, Hnaniéné YEIWENE",Province des Iles,2,2019_Province des Iles_02,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,5,YEIWENE,CHARLES|HNANIENE,2026,YEIWENE Charles Hnaniéné,Province des Iles,5,2026_Province des Iles_05,UC-FLNKS Iles,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,5,YEIWENE,CHARLES|HNANIENE,TRUE,FALSE,TRUE,TRUE
HENRIETTE KAOUMA PUJAPUJANE,HENRIETTE KAOUMA PUJAPUJANE,Henriette KAOUMA - PUJAPUJANE,KAOUMA EPOUSE PUJAPUJANE HENRIETTE,Province des Iles,Province des Iles,Province des Iles - 02 - UC-FLNKS,Province des Iles - 07 - Union pour construire dans le consensus,exact,haute,NA,NA,0,NA,NA,2019,Henriette KAOUMA - PUJAPUJANE,Province des Iles,2,2019_Province des Iles_02,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,8,KAOUMA|PUJAPUJANE,HENRIETTE,2026,KAOUMA EPOUSE PUJAPUJANE HENRIETTE,Province des Iles,7,2026_Province des Iles_07,Union pour construire dans le consensus,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,1,2,KAOUMA,PUJAPUJANE|HENRIETTE,TRUE,FALSE,TRUE,TRUE
ALBERT JEAN WADEDEU,ALBERT JEAN WADEDEU,Jean-Albert WADEDEU,WADEDEU Jean-Albert,Province des Iles,Province des Iles,Province des Iles - 02 - UC-FLNKS,Province des Iles - 05 - UC-FLNKS Iles,exact,haute,NA,NA,0,NA,NA,2019,Jean-Albert WADEDEU,Province des Iles,2,2019_Province des Iles_02,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,9,WADEDEU,JEAN|ALBERT,2026,WADEDEU Jean-Albert,Province des Iles,5,2026_Province des Iles_05,UC-FLNKS Iles,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,1,3,WADEDEU,JEAN|ALBERT,TRUE,FALSE,TRUE,TRUE
AURORE GOPE,AURORE GOPE,Aurore GOPE,GOPE Aurore,Province des Iles,Province des Iles,Province des Iles - 08 - Palika Iles,Province des Iles - 01 - Palika Iles,exact,haute,NA,NA,0,NA,NA,2019,Aurore GOPE,Province des Iles,8,2019_Province des Iles_08,Palika Iles,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,14,GOPE,AURORE,2026,GOPE Aurore,Province des Iles,1,2026_Province des Iles_01,Palika Iles,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,7,GOPE,AURORE,TRUE,TRUE,TRUE,TRUE
MULIAVA VAIMUA,MULIAVA VAIMU,Vaimua MULIAVA,MULIAVA Vaimu'a,Province Sud,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,fuzzy_haute_confiance,haute,NA,NA,0.01428571428571423,NA,NA,2019,Vaimua MULIAVA,Province Sud,6,2019_Province Sud_06,L'Eveil oceanien,Oceanien / transversal,Eveil oceanien / oceanien,Eveil oceanien / oceanien,Oceanien / transversal,4,3,MULIAVA,VAIMUA,2026,MULIAVA Vaimu'a,Province Sud,1,2026_Province Sud_01,Un autre monde est possible,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,4,5,MULIAVA,VAIMU,TRUE,FALSE,TRUE,TRUE
HOMBOE MICHELLE,HOMBOE MICHELE,Michelle HOMBOE,À HOMBOE Michele,Province Sud,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud - 12 - UN ESPOIR POUR DEMAIN,fuzzy_haute_confiance,haute,NA,NA,0.01333333333333328,NA,NA,2019,Michelle HOMBOE,Province Sud,9,2019_Province Sud_09,Construire autrement,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,6,HOMBOE,MICHELLE,2026,À HOMBOE Michele,Province Sud,12,2026_Province Sud_12,Un espoir pour demain,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,5,4,HOMBOE,MICHELE,TRUE,FALSE,FALSE,FALSE
DJAOUA ROLLAND,DJAOUA ROLAND,Rolland DJAOUA,DJAOUA Roland,Province des Iles,Province des Iles,Province des Iles - 04 - AVEC NOUS,Province des Iles - 02 - UN NOUVEAU SOUFFLE,fuzzy_haute_confiance,haute,NA,NA,0.01428571428571423,NA,NA,2019,Rolland DJAOUA,Province des Iles,4,2019_Province des Iles_04,Avec nous,A preciser,Divers / a preciser,Divers / a preciser,A preciser,8,19,DJAOUA,ROLLAND,2026,DJAOUA Roland,Province des Iles,2,2026_Province des Iles_02,Un nouveau souffle,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,6,23,DJAOUA,ROLAND,TRUE,FALSE,FALSE,FALSE
NEAOUTYINE PAUL TYAOU,NEAOUTYINE PAUL,"Paul, Tyaou NEAOUTYINE",NEAOUTYINE Paul,Province Nord,Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),tokens_haute_confiance,haute,2,0.8,0.05714285714285713,NEAOUTYINE,PAUL,2019,"Paul, Tyaou NEAOUTYINE",Province Nord,1,2019_Province Nord_01,UNI,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,1,NEAOUTYINE,PAUL|TYAOU,2026,NEAOUTYINE Paul,Province Nord,5,2026_Province Nord_05,UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,1,NEAOUTYINE,PAUL,TRUE,TRUE,TRUE,TRUE
FAIVRE GISELE MARIE NADEIGE WACKENTHALER,FAIVRE NADEIGE WACKENTHALER,"Nadeige, Gisèle, Marie WACKENTHALER ép FAIVRE",+ WACKENTHALER ép. FAIVRE Nadeige,Province Nord,Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),tokens_haute_confiance,haute,3,0.75,0.13537037037037036,WACKENTHALER|FAIVRE,NADEIGE,2019,"Nadeige, Gisèle, Marie WACKENTHALER ép FAIVRE",Province Nord,1,2019_Province Nord_01,UNI,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,2,2,WACKENTHALER|FAIVRE,NADEIGE|GISELE|MARIE,2026,+ WACKENTHALER ép. FAIVRE Nadeige,Province Nord,5,2026_Province Nord_05,UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,4,WACKENTHALER|FAIVRE,NADEIGE,TRUE,TRUE,TRUE,TRUE
