annee,province,numero_liste,liste_id,liste_nom,liste_nom_court,camp_institutionnel,famille_politique,axe_politique,axe_politique_ordre,qualification_a_verifier,source_qualification_politique,notes_qualification,voix_2019,sieges_congres_2019,sieges_province_seulement_2019,sieges_province_total_2019,admis_repartition_2019,source_resultats_2019,groupe_assemblee_province_2019_liste,groupe_congres_2019_initial_liste,note_groupe_congres_2019,source_groupes_2019,date_constat_groupes_2026_actuels
2019,Province des Iles,4,2019_Province des Iles_04,AVEC NOUS,Avec nous,A preciser,Divers / a preciser,A preciser,8,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,462,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province des Iles,5,2019_Province des Iles_05,DYNAMIQUE AUTOCHTONE,Dynamique autochtone,Independantiste / souverainiste,Autochtone / oceanien / local,Independantiste FLNKS / gauche,1,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,1536,1,1,2,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Dynamique autochtone,UC-FLNKS et Nationalistes,A verifier individuellement; rattachement deduit du bloc nationaliste.,https://www.congres.nc/les-groupes-politiques-constitues-a-la-veille-de-linstallation-de-la-nouvelle-mandature/ | https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,2026-06-13
2019,Province des Iles,6,2019_Province des Iles_06,NOUVELLE VISION DES ILES,Nouvelle vision des Iles,A preciser,Divers / a preciser,A preciser,8,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,851,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province des Iles,7,2019_Province des Iles_07,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),MNIS Iles,Souverainiste / pro-pays transversal,Neo-independantiste / souverainiste,Souverainiste / pro-pays,3,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,173,0,0,0,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2019,Province des Iles,8,2019_Province des Iles_08,PALIKA ILES,Palika Iles,Independantiste / souverainiste,UNI / Palika,Independantiste UNI / Palika,2,FALSE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Qualification construite a partir de la liste 2019 et des groupes/coalitions connus pendant la mandature.,2970,2,2,4,TRUE,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,Palika Iles,UNI,NA,https://www.congres.nc/les-groupes-politiques-constitues-a-la-veille-de-linstallation-de-la-nouvelle-mandature/ | https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,2026-06-13
2026,Province Nord,1,2026_Province Nord_01,AGISSONS ENSEMBLE POUR LE NORD,Agissons ensemble pour le Nord,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyaliste droite,6,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence | https://www.congres.nc/nouvelle-composition-des-groupes-delus-au-congres/,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Nord,2,2026_Province Nord_02,ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Alternative Nord pour un pays souverain,Independantiste / souverainiste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,1,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Nord,3,2026_Province Nord_03,UC FLNKS,UC-FLNKS,Independantiste / souverainiste,UC-FLNKS,Independantiste FLNKS / gauche,1,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Nord,4,2026_Province Nord_04,FAIRE PAYS,Faire Pays,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,3,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
2026,Province Nord,5,2026_Province Nord_05,UNION NATIONALE POUR L'INDEPENDANCE (UNI),UNI,Independantiste / souverainiste,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,2,FALSE,https://fr.wikipedia.org/wiki/%C3%89lections_provinciales_n%C3%A9o-cal%C3%A9doniennes_de_2026#Forces_en_pr%C3%A9sence,"Qualification d'apres le tableau des forces en presence 2026 et, pour les listes loyalistes, la composition actuelle des groupes du Congres.",NA,NA,NA,NA,NA,https://www.nouvelle-caledonie.gouv.fr/Actions-de-l-Etat/Elections/Elections-2019/Provinciales-2019/RESULTATS,NA,NA,NA,NA,2026-06-13
