nom_cle_comparaison,nom_affiche_2019,nom_normalise_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,camps_2019,familles_politiques_2019,composantes_politiques_2019,axes_politiques_2019,qualification_a_verifier_2019,mandat_2019_2019,groupe_congres_2019_initial_2019,groupe_assemblee_province_2019_2019,groupe_congres_2026_actuel_2019,groupe_assemblee_province_2026_actuel_2019,nom_affiche_2026,nom_normalise_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,camps_2026,familles_politiques_2026,composantes_politiques_2026,axes_politiques_2026,qualification_a_verifier_2026,mandat_2019_2026,groupe_congres_2019_initial_2026,groupe_assemblee_province_2019_2026,groupe_congres_2026_actuel_2026,groupe_assemblee_province_2026_actuel_2026,statut_exact
ALLAN BROUSSE DE LABORDE RODRIGUE SERGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BROUSSE DE LABORDE Rodrigue, Allan, Serge",BROUSSE DE LABORDE RODRIGUE ALLAN SERGE,Province Sud,Province Sud - 08 - Pour une Caledonie francaise,Province Sud:15,1,Non-independantiste / droite nationale,Voix du Caillou / Rassemblement national diss.,Voix du Caillou / Rassemblement national diss.,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALLARD NADINE PIDJOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIDJOT-ALLARD Nadine,PIDJOT ALLARD NADINE,Province Sud,"Province Sud - 09 - Nous, reunis",Province Sud:02,1,Non-independantiste / autonomiste modere,Caledonie Ensemble diss.,Caledonie Ensemble diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALOSIO FERNANDE MANU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOSIO FERNANDE MANU,ALOSIO FERNANDE MANU,Province des Iles,Province des Iles - 07 - Union pour construire dans le consensus,Province des Iles:24,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALOSIO GAIA NIKITA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAIA ép. ALOSIO Nikita,GAIA ALOSIO NIKITA,Province Sud,Province Sud - 02 - Kanaky pour tous,Province Sud:12,1,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALOSIO ROGER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOSIO Roger,ALOSIO ROGER,Province Sud,Province Sud - 10 - Les Loyalistes et Le Rassemblement,Province Sud:44,1,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALPHONSE CAWIDRONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAWIDRONE Alphonse,CAWIDRONE ALPHONSE,Province des Iles,Province des Iles - 05 - UC-FLNKS Iles,Province des Iles:23,1,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALPHONSE JEAN PHILIPPE THIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THIA ALPHONSE, JEAN-PHILIPPE",THIA ALPHONSE JEAN PHILIPPE,Province Sud,Province Sud - 07 - Faire Pays,Province Sud:27,1,Souverainiste / pro-pays transversal,Faire Pays / MNIS,Faire Pays / MNIS,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALT ANNEXE CANDIDATURES DES FIXANT LA LISTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANNEXE FIXANT LA LISTE DES CANDIDATURES ALT,ANNEXE FIXANT LA LISTE DES CANDIDATURES ALT,Province Nord,Province Nord - 02 - Alternative Nord pour un pays souverain,Province Nord:32,1,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ALYSSE CITRE SHINILANNE WAJOJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CITRE Alysse Wajojo Shinilanne,CITRE ALYSSE WAJOJO SHINILANNE,Province Sud,"Province Sud - 09 - Nous, reunis",Province Sud:24,1,Non-independantiste / autonomiste modere,Caledonie Ensemble diss.,Caledonie Ensemble diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
AMANDA SANTAROSSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTAROSSA Amanda,SANTAROSSA AMANDA,Province Nord,Province Nord - 01 - Agissons ensemble pour le Nord,Province Nord:07,1,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
