nom_cle_comparaison,nom_affiche_2019,nom_normalise_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,camps_2019,familles_politiques_2019,composantes_politiques_2019,axes_politiques_2019,qualification_a_verifier_2019,mandat_2019_2019,groupe_congres_2019_initial_2019,groupe_assemblee_province_2019_2019,groupe_congres_2026_actuel_2019,groupe_assemblee_province_2026_actuel_2019,nom_affiche_2026,nom_normalise_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,camps_2026,familles_politiques_2026,composantes_politiques_2026,axes_politiques_2026,qualification_a_verifier_2026,mandat_2019_2026,groupe_congres_2019_initial_2026,groupe_assemblee_province_2019_2026,groupe_congres_2026_actuel_2026,groupe_assemblee_province_2026_actuel_2026,statut_exact
PASCALINE VAITULUKINA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VAITULUKINA Pascaline,VAITULUKINA PASCALINE,Province Sud,Province Sud - 01 - Un autre monde est possible,Province Sud:12,1,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
PATRICIA RYSWYCK VAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VAN RYSWYCK Patricia,VAN RYSWYCK PATRICIA,Province Sud,Province Sud - 12 - Un espoir pour demain,Province Sud:02,1,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
PATRICK TARA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TARA Patrick,TARA PATRICK,Province Sud,Province Sud - 02 - Kanaky pour tous,Province Sud:17,1,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
PAULETTE RUFFINONI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RUFFINONI Paulette,RUFFINONI PAULETTE,Province Sud,"Province Sud - 03 - France Caledonie, une patrie",Province Sud:41,1,Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
PELENATO VAOHEILALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VAOHEILALA Pelenato,VAOHEILALA PELENATO,Province Sud,Province Sud - 11 - Unis pour le Pays,Province Sud:19,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
PHILIPPE TOGOLEI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOGOLEI Philippe,TOGOLEI PHILIPPE,Province Sud,Province Sud - 06 - Souverainete Kanaky NC,Province Sud:21,1,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
PIERRE SELUI SIMON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SELUI Simon Pierre,SELUI SIMON PIERRE,Province Sud,Province Sud - 01 - Un autre monde est possible,Province Sud:38,1,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
PIMBE ROBERT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIMBE Robert,PIMBE ROBERT,Province Nord,Province Nord - 04 - Faire Pays,Province Nord:29,1,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
POCHARD YANNICK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POCHARD Yannick,POCHARD YANNICK,Province Sud,"Province Sud - 03 - France Caledonie, une patrie",Province Sud:50,1,Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
POHLE VICTORIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POHLE Victoria,POHLE VICTORIA,Province des Iles,Province des Iles - 01 - Palika Iles,Province des Iles:11,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
POIWI STEPHANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POIWI Stephane,POIWI STEPHANE,Province Sud,Province Sud - 10 - Les Loyalistes et Le Rassemblement,Province Sud:28,1,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
POLIKALEPO TAOFIFENUA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TAOFIFENUA Polikalepo,TAOFIFENUA POLIKALEPO,Province Sud,Province Sud - 01 - Un autre monde est possible,Province Sud:21,1,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
POTHEYLOR POULAWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POULAWA Potheylor,POULAWA POTHEYLOR,Province Sud,Province Sud - 05 - Une Province pour tous,Province Sud:35,1,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
PRISCA RAIZA TONHOUERI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TONHOUERI Prisca, Raiza",TONHOUERI PRISCA RAIZA,Province Sud,Province Sud - 11 - Unis pour le Pays,Province Sud:32,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
PUAHIO TEVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PUAHIO Teva,PUAHIO TEVA,Province Sud,Province Sud - 01 - Un autre monde est possible,Province Sud:03,1,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
QABUE WADEVWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WADEVWE Qabue,WADEVWE QABUE,Province des Iles,Province des Iles - 06 - S'engager et oeuvrer,Province des Iles:12,1,Independantiste / souverainiste,UPK,UPK,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
QAEKO SIAPO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SIAPO Qaeko,SIAPO QAEKO,Province des Iles,Province des Iles - 02 - Un nouveau souffle,Province des Iles:04,1,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
QUINET STEPHANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUINET Stephane,QUINET STEPHANE,Province Sud,"Province Sud - 03 - France Caledonie, une patrie",Province Sud:05,1,Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
QUINQUIS VALERIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUINQUIS Valerie,QUINQUIS VALERIE,Province Sud,"Province Sud - 03 - France Caledonie, une patrie",Province Sud:08,1,Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
RAINOUARD RAOUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RAINOUARD Raoul,RAINOUARD RAOUL,Province Sud,"Province Sud - 03 - France Caledonie, une patrie",Province Sud:46,1,Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
REBECCA WAJOKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WAJOKA Rebecca,WAJOKA REBECCA,Province Sud,Province Sud - 02 - Kanaky pour tous,Province Sud:42,1,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
REINE VENDEGOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VENDEGOU Reine,VENDEGOU REINE,Province des Iles,Province des Iles - 05 - UC-FLNKS Iles,Province des Iles:08,1,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
RENE THOVET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THOVET René,THOVET RENE,Province Nord,Province Nord - 03 - UC-FLNKS,Province Nord:17,1,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ROBERT WADIENO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WADIENO Robert,WADIENO ROBERT,Province des Iles,Province des Iles - 05 - UC-FLNKS Iles,Province des Iles:11,1,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ROCH WAMYTAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WAMYTAN Roch,WAMYTAN ROCH,Province Sud,Province Sud - 02 - Kanaky pour tous,Province Sud:49,1,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,UC-FLNKS et Nationalistes,FLNKS (FLNKS),nouveau_2026_exact
ROMANE VERNAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VERNAY Romane,VERNAY ROMANE,Province Sud,"Province Sud - 03 - France Caledonie, une patrie",Province Sud:12,1,Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ROMEO SALIGA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SALIGA Roméo,SALIGA ROMEO,Province Sud,Province Sud - 05 - Une Province pour tous,Province Sud:34,1,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ROSSARD XAVIER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROSSARD Xavier,ROSSARD XAVIER,Province Sud,Province Sud - 10 - Les Loyalistes et Le Rassemblement,Province Sud:22,1,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
RUDY TINILOA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TINILOA Rudy,TINILOA RUDY,Province Sud,Province Sud - 06 - Souverainete Kanaky NC,Province Sud:25,1,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SABRINA WEDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WEDE Sabrina,WEDE SABRINA,Province Sud,Province Sud - 05 - Une Province pour tous,Province Sud:22,1,Non-independantiste / autonomiste modere,Caledonie Ensemble / Rassemblement-LR diss.,Caledonie Ensemble / Rassemblement-LR diss.,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SAIHULIWA SINAWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAIHULIWA Sinawë,SAIHULIWA SINAWE,Province des Iles,Province des Iles - 02 - Un nouveau souffle,Province des Iles:15,1,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SAIHULIWA YAELLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAIHULIWA YAËLLE,SAIHULIWA YAELLE,Province Sud,Province Sud - 07 - Faire Pays,Province Sud:14,1,Souverainiste / pro-pays transversal,Faire Pays / MNIS,Faire Pays / MNIS,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SAIPO SANDRINE WAJANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAIPO SANDRINE WAJANA,SAIPO SANDRINE WAJANA,Province des Iles,Province des Iles - 07 - Union pour construire dans le consensus,Province des Iles:14,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SALAUN THERESE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SALAÜN Therese,SALAUN THERESE,Province Nord,Province Nord - 04 - Faire Pays,Province Nord:06,1,Souverainiste / pro-pays transversal,Faire Pays / souverainisme en partenariat,Faire Pays / souverainisme en partenariat,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SAMUEL WAMO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WAMO Samuel,WAMO SAMUEL,Province des Iles,Province des Iles - 01 - Palika Iles,Province des Iles:06,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SEIKO SONIA WAEHLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEIKO Sonia Waehla,SEIKO SONIA WAEHLA,Province des Iles,Province des Iles - 06 - S'engager et oeuvrer,Province des Iles:08,1,Independantiste / souverainiste,UPK,UPK,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SELEFEN YANN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SELEFEN Yann,SELEFEN YANN,Province Sud,Province Sud - 06 - Souverainete Kanaky NC,Province Sud:33,1,Independantiste / souverainiste,Souverainete Kanaky NC,Souverainete Kanaky NC,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SERGE TIDJINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,. TIDJINE Serge,TIDJINE SERGE,Province Nord,Province Nord - 02 - Alternative Nord pour un pays souverain,Province Nord:03,1,Independantiste / souverainiste,UPK / DUS / Parti travailliste,UPK / DUS / Parti travailliste,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SIRO SONIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SIRO Sonia,SIRO SONIA,Province Sud,Province Sud - 11 - Unis pour le Pays,Province Sud:26,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SIVI YAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SIVI Yan,SIVI YAN,Province Sud,Province Sud - 10 - Les Loyalistes et Le Rassemblement,Province Sud:34,1,Non-independantiste / loyaliste,Les Loyalistes + Rassemblement-LR,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
SONIA TOLUAFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOLUAFE Sonia,TOLUAFE SONIA,Province Sud,Province Sud - 01 - Un autre monde est possible,Province Sud:37,1,Oceanien / transversal,Eveil oceanien / centre non-independantiste oceanien,Eveil oceanien / centre non-independantiste oceanien,Oceanien / transversal,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
STEEVE TCHAOUNYANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TCHAOUNYANE Steeve,TCHAOUNYANE STEEVE,Province Nord,Province Nord - 05 - UNI,Province Nord:15,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
STEEVE WAHOPIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WAHOPIE Steeve,WAHOPIE STEEVE,Province des Iles,Province des Iles - 01 - Palika Iles,Province des Iles:22,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
STEEVE WEBER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WEBER STEEVE,WEBER STEEVE,Province Sud,Province Sud - 07 - Faire Pays,Province Sud:49,1,Souverainiste / pro-pays transversal,Faire Pays / MNIS,Faire Pays / MNIS,Souverainiste / pro-pays,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
STEPHANE TEULUME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEULUME Stéphane,TEULUME STEPHANE,Province des Iles,Province des Iles - 06 - S'engager et oeuvrer,Province des Iles:13,1,Independantiste / souverainiste,UPK,UPK,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
STEPHANE YEIWENE YOYEINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YEIWENE STEPHANE YOYEINE,YEIWENE STEPHANE YOYEINE,Province des Iles,Province des Iles - 07 - Union pour construire dans le consensus,Province des Iles:21,1,Independantiste / souverainiste,Union caledonienne dissidente,Union caledonienne dissidente,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
TATIANA VAMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VAMA Tatiana,VAMA TATIANA,Province Sud,Province Sud - 02 - Kanaky pour tous,Province Sud:22,1,Independantiste / souverainiste,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,FLNKS elargi / UC-CCAT-DUS-RDO-DA-PT,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
TERIIPAIA WALTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TERIIPAIA Walter,TERIIPAIA WALTER,Province Sud,"Province Sud - 03 - France Caledonie, une patrie",Province Sud:25,1,Non-independantiste / droite nationale,France-Caledonie / Rassemblement national,France-Caledonie / Rassemblement national,Droite nationale anti-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
THAVOAVIANON YANN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THAVOAVIANON Yann,THAVOAVIANON YANN,Province Nord,Province Nord - 03 - UC-FLNKS,Province Nord:19,1,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
TOM WHEJOINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHEJOINE Tom,WHEJOINE TOM,Province des Iles,Province des Iles - 04 - Nation autochtone,Province des Iles:08,1,Independantiste / souverainiste,Dynamique autochtone,Dynamique autochtone,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
VAKIE YVANNICK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VAKIE Yvannick,VAKIE YVANNICK,Province Sud,Province Sud - 11 - Unis pour le Pays,Province Sud:49,1,Independantiste / souverainiste,UNI / Palika-UPM-UNID,UNI / Palika-UPM-UNID,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
VIRGINIE WALLEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WALLEP Virginie,WALLEP VIRGINIE,Province des Iles,Province des Iles - 04 - Nation autochtone,Province des Iles:17,1,Independantiste / souverainiste,Dynamique autochtone,Dynamique autochtone,Independantiste FLNKS / gauche,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
WAHETRA WALI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ï WAHETRA Wali,I WAHETRA WALI,Province des Iles,Province des Iles - 01 - Palika Iles,Province des Iles:01,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
WILFRIED WOSTROWSKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOSTROWSKI Wilfried,WOSTROWSKI WILFRIED,Province Sud,Province Sud - 12 - Un espoir pour demain,Province Sud:23,1,Non-independantiste / autonomiste modere,Centre droit non-independantiste / nationalisme caledonien,Centre droit non-independantiste / nationalisme caledonien,Centre non-independantiste,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M à,M A,Province Nord,Province Nord - 01 - Agissons ensemble pour le Nord,Province Nord:31,1,Non-independantiste / loyaliste,Rassemblement-LR + Les Loyalistes,Loyalistes / Rassemblement - candidat non rattache par groupe actuel,Loyaliste droite,FALSE,NA,NA,NA,NA,NA,nouveau_2026_exact
ABEN MARGUERITE PATRICIA,"Marguerite, Patricia ABEN",MARGUERITE PATRICIA ABEN,Province des Iles,Province des Iles - 04 - Avec nous,Province des Iles:22,1,A preciser,Divers / a preciser,Divers / a preciser,A preciser,TRUE,Non elu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ADELE BOAE POADYOO,Adèle Boae POADYOO,ADELE BOAE POADYOO,Province Nord,Province Nord - 03 - Caledoniens Ensemble Nord,Province Nord:26,1,Non-independantiste / autonomiste modere,Caledonie Ensemble / centre non-independantiste,Caledonie Ensemble / centre non-independantiste,Centre non-independantiste,FALSE,Non elu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ADELE COUKE OURIA POEDA,"Couké-Ouria, Adèle POEDA",COUKE OURIA ADELE POEDA,Province Nord,Province Nord - 01 - UNI,Province Nord:20,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,Non elu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ADJOUHGNIOPE AHNU,Ahnu ADJOUHGNIOPE,AHNU ADJOUHGNIOPE,Province des Iles,Province des Iles - 02 - UC-FLNKS,Province des Iles:24,1,Independantiste / souverainiste,UC-FLNKS,UC-FLNKS,Independantiste FLNKS / gauche,FALSE,Non elu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ADJOUHGNIOPE DAVID GERMOND,ADJOUHGNIOPE David Germond,ADJOUHGNIOPE DAVID GERMOND,Province des Iles,Province des Iles - 08 - Palika Iles,Province des Iles:23,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,Non elu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ADJOUHNIOPE LESS WILFRIED,"Wilfried, Less ADJOUHNIOPE",WILFRIED LESS ADJOUHNIOPE,Province Sud,Province Sud - 07 - FLNKS,Province Sud:49,1,Independantiste / souverainiste,Independantiste / pro-pays,Independantiste / pro-pays,Independantiste FLNKS / gauche,FALSE,Non elu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ADJOUHNYOPE JACQUES,Jacques ADJOUHNYOPE,JACQUES ADJOUHNYOPE,Province des Iles,Province des Iles - 08 - Palika Iles,Province des Iles:13,1,Independantiste / souverainiste,UNI / Palika,UNI / Palika,Independantiste UNI / Palika,FALSE,Non elu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ADJOUNIOPE EMELIE MAHIEUC,Emélie MAHIEUC ép ADJOUNIOPE,EMELIE MAHIEUC ADJOUNIOPE,Province des Iles,Province des Iles - 04 - Avec nous,Province des Iles:18,1,A preciser,Divers / a preciser,Divers / a preciser,A preciser,TRUE,Non elu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
ADJOUNIOPE MARIE,Marie ADJOUNIOPE,MARIE ADJOUNIOPE,Province des Iles,Province des Iles - 04 - Avec nous,Province des Iles:20,1,A preciser,Divers / a preciser,Divers / a preciser,A preciser,TRUE,Non elu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
