nom_cle_comparaison,nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,statut_exact
JODAR NICOLAS,NICOLAS JODAR,Nicolas JODAR,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:35,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JOE MARIE OHNO,MARIE JOE OHNO,Marie-Joe OHNO,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:16,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JOEL WELEPA,JOEL WELEPA,Joël WELEPA,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:17,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JOELLE KAOUMA MARIE,MARIE JOELLE KAOUMA,Marie-Joëlle KAOUMA,Province des Iles,Province des Iles - 01 - UNITAIRE KANAKY GENERATION,Province des Iles:04,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JOELLE LE MARREC TUAIVA,JOELLE TUAIVA LE MARREC,Joëlle TUAIVA ép LE MARREC,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord:22,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JONATHAN LAURENT,JONATHAN LAURENT,Jonathan LAURENT,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,Province Sud:25,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JONE JOSEPH,JOSEPH JONE,Joseph JONE,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:41,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JOREDIE MANIE REDON,MANIE JOREDIE REDON,Manie JOREDIE ép REDON,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord:32,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JOSEE JULIENNE LAVELLOI MARIE,JULIENNE MARIE JOSEE LAVELLOI,"Julienne, Marie-Josée LAVELLOI",Province des Iles,Province des Iles - 02 - UC - FLNKS,Province des Iles:06,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
JOSEPH MISIMOA,JOSEPH MISIMOA,Joseph MISIMOA,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:15,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
