nom_cle_comparaison,nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,statut_exact
HENRI HUMUNIE WANEWI,NA,NA,NA,NA,NA,NA,HUMUNIE HENRI WANEWI,HUMUNIE Henri Wanéwi,Province des Iles,Province des Iles - 05 - UC FLNKS ILES,Province des Iles:21,1,nouveau_2026_exact
HENRI JOVIAL NENA,NA,NA,NA,NA,NA,NA,NENA HENRI JOVIAL,"NENA Henri, Jovial",Province des Iles,Province des Iles - 03 - BASELAIA,Province des Iles:11,1,nouveau_2026_exact
HENRI JUNI MAO,NA,NA,NA,NA,NA,NA,JUNI HENRI MAO,JUNI Henri Mao,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:23,1,nouveau_2026_exact
HENRI LUEPACK,NA,NA,NA,NA,NA,NA,LUEPACK HENRI,LUEPACK Henri,Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,Province des Iles:07,1,nouveau_2026_exact
HENRIETTE SISSAWANAW UREGEI,NA,NA,NA,NA,NA,NA,UREGEI HENRIETTE SISSAWANAW,UREGEI HENRIETTE SISSAWANAW,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:04,1,nouveau_2026_exact
HENRIETTE TENDA,NA,NA,NA,NA,NA,NA,TENDA HENRIETTE,TENDA Henriette,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:40,1,nouveau_2026_exact
HERBERT VALERIE,NA,NA,NA,NA,NA,NA,HERBERT VALERIE,HERBERT Valérie,Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,Province Sud:50,1,nouveau_2026_exact
HILAIRE IXALEN,NA,NA,NA,NA,NA,NA,IXALEN HILAIRE,IXALEN Hilaire,Province des Iles,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,Province des Iles:17,1,nouveau_2026_exact
HILAIRE JEAN ROBERTO TEIN,NA,NA,NA,NA,NA,NA,TEIN ROBERTO JEAN HILAIRE,"TEIN Roberto, Jean, Hilaire",Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:15,1,nouveau_2026_exact
HIREP JOSEPH PAUL,NA,NA,NA,NA,NA,NA,HIREP PAUL JOSEPH,HIREP Paul-Joseph,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,Province Sud:37,1,nouveau_2026_exact
HNACIPAN PIERRE,NA,NA,NA,NA,NA,NA,HNACIPAN PIERRE,HNACIPAN Pierre,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,Province des Iles:24,1,nouveau_2026_exact
HNAGEJE PHILIPPE,NA,NA,NA,NA,NA,NA,HNAGEJE PHILIPPE,HNAGEJE Philippe,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",Province Sud:44,1,nouveau_2026_exact
HNAILOLO NATASHA,NA,NA,NA,NA,NA,NA,HNAILOLO NATASHA,HNAILOLO Natasha,Province des Iles,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,Province des Iles:18,1,nouveau_2026_exact
HNAU RIMEL,NA,NA,NA,NA,NA,NA,HNAU RIMEL,HNAU Rimel,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,Province des Iles:13,1,nouveau_2026_exact
HNAVWIA JULIA,NA,NA,NA,NA,NA,NA,HNAVWIA JULIA,HNAVWIA Julia,Province des Iles,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,Province des Iles:14,1,nouveau_2026_exact
HNAWANG ZACHARIE,NA,NA,NA,NA,NA,NA,HNAWANG ZACHARIE,HNAWANG Zacharie,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:29,1,nouveau_2026_exact
HOLA MARVINE WENENINA,NA,NA,NA,NA,NA,NA,WENENINA HOLA MARVINE,WENENINA HOLA MARVINE,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:23,1,nouveau_2026_exact
HOMBOE MICHELE,NA,NA,NA,NA,NA,NA,A HOMBOE MICHELE,À HOMBOE Michele,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,Province Sud:04,1,nouveau_2026_exact
HOMOU LOUIS PIDJOT,NA,NA,NA,NA,NA,NA,HOMOU LOUIS PIDJOT,HOMOU Louis Pidjot,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:37,1,nouveau_2026_exact
HONAKOKO JADE,NA,NA,NA,NA,NA,NA,HONAKOKO JADE,HONAKOKO Jade,Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,Province Sud:18,1,nouveau_2026_exact
HONIE ISABELLE SEIKO,NA,NA,NA,NA,NA,NA,SEIKO ISABELLE HONIE,SEIKO ISABELLE HONIE,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:18,1,nouveau_2026_exact
HORNGREN MARIE MICHELLE OUENGHEOU,NA,NA,NA,NA,NA,NA,HORNGREN MARIE MICHELLE OUENGHEOU,"HORNGREN MARIE-MICHELLE, OUENGHEOU",Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:34,1,nouveau_2026_exact
HOUVWILI ISMAELLA RAPHAELLA,NA,NA,NA,NA,NA,NA,HOUVWILI ISMAELLA RAPHAELLA,HOUVWILI Ismaëlla Raphaella,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:20,1,nouveau_2026_exact
HUMUNI LAURIE LIKILIKI,NA,NA,NA,NA,NA,NA,LIKILIKI HUMUNI LAURIE,LIKILIKI ép. HUMUNI Laurie,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:06,1,nouveau_2026_exact
IEKAWE JOCELYNE PHADOM,NA,NA,NA,NA,NA,NA,PHADOM IEKAWE JOCELYNE,PHADOM ép. IEKAWE Jocelyne,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:36,1,nouveau_2026_exact
IGNACE MONAWA OSCAR,NA,NA,NA,NA,NA,NA,MONAWA IGNACE OSCAR,"MONAWA Ignace, Oscar",Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,Province Sud:23,1,nouveau_2026_exact
IHILY PIERRE,NA,NA,NA,NA,NA,NA,7 IHILY PIERRE,7 IHILY Pierre,Province des Iles,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,Province des Iles:07,1,nouveau_2026_exact
IJONE PIERRE QAEEZE,NA,NA,NA,NA,NA,NA,QAEEZE PIERRE IJONE,QAËEZE Pierre Ijoné,Province des Iles,Province des Iles - 05 - UC FLNKS ILES,Province des Iles:15,1,nouveau_2026_exact
INGRID POURCELOT,NA,NA,NA,NA,NA,NA,POURCELOT INGRID,POURCELOT Ingrid,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",Province Sud:12,1,nouveau_2026_exact
INGRID PUJOL,NA,NA,NA,NA,NA,NA,PUJOL INGRID,PUJOL Ingrid,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:06,1,nouveau_2026_exact
INYA LUEWADIA YVETTE,NA,NA,NA,NA,NA,NA,LUEWADIA YVETTE INYA,"LUEWADIA Yvette, Inya",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,Province des Iles:11,1,nouveau_2026_exact
IRENE SAMOUAN,NA,NA,NA,NA,NA,NA,SAMOUAN IRENE,SAMOUAN Irène,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:28,1,nouveau_2026_exact
ISABELLA MARIA SALIGA,NA,NA,NA,NA,NA,NA,SALIGA MARIA ISABELLA,SALIGA Maria Isabella,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:01,1,nouveau_2026_exact
ISABELLE MARIE VAITULUKINA,NA,NA,NA,NA,NA,NA,VAITULUKINA MARIE ISABELLE,"VAITULUKINA MARIE, ISABELLE",Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:10,1,nouveau_2026_exact
ISABELLE RINAUDO,NA,NA,NA,NA,NA,NA,RINAUDO ISABELLE,RINAUDO Isabelle,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,Province Sud:30,1,nouveau_2026_exact
ISABELLE TALLONNIER,NA,NA,NA,NA,NA,NA,TALLONNIER ISABELLE,TALLONNIER Isabelle,Province Sud,"Province Sud - 03 - FRANCE CALEDONIE, UNE PATRIE",Province Sud:33,1,nouveau_2026_exact
ISSAMATRO MARIE SETHA WEA,NA,NA,NA,NA,NA,NA,WEA ISSAMATRO SETHA MARIE,"WEA épouse ISSAMATRO Setha, Marie",Province des Iles,Province des Iles - 03 - BASELAIA,Province des Iles:14,1,nouveau_2026_exact
ITHUPANE TIEOUE,NA,NA,NA,NA,NA,NA,TIEOUE ITHUPANE,TIEOUE Ithupane,Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,Province Sud:28,1,nouveau_2026_exact
JACINTHE KOTEUREU,NA,NA,NA,NA,NA,NA,KOTEUREU JACINTHE,KOTEUREU Jacinthe,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:11,1,nouveau_2026_exact
JACQUELINE JOSEPHE MARIE PIDJOT,NA,NA,NA,NA,NA,NA,PIDJOT JACQUELINE MARIE JOSEPHE,"PIDJOT JACQUELINE, MARIE-JOSEPHE",Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:08,1,nouveau_2026_exact
JACQUELINE MALIE,NA,NA,NA,NA,NA,NA,MALIE JACQUELINE,MALIE Jacqueline,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,Province des Iles:09,1,nouveau_2026_exact
JACQUES KARL REMY VANWALSCAPPEL,NA,NA,NA,NA,NA,NA,VANWALSCAPPEL KARL JACQUES REMY,"VANWALSCAPPEL KARL, JACQUES, REMY",Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:39,1,nouveau_2026_exact
JACQUES LOQUET RENE SYLVIO,NA,NA,NA,NA,NA,NA,3 LOQUET SYLVIO JACQUES RENE,3 LOQUET Sylvio Jacques René,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:03,1,nouveau_2026_exact
JACQUES SHENE WABETE,NA,NA,NA,NA,NA,NA,WABETE JACQUES SHENE,"WABETE JACQUES, SHENE",Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:31,1,nouveau_2026_exact
JAEL VAKAULIAFA,NA,NA,NA,NA,NA,NA,VAKAULIAFA JAEL,VAKAULIAFA Jaël,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,Province Sud:41,1,nouveau_2026_exact
JAICE TUUFUI,NA,NA,NA,NA,NA,NA,TUUFUI JAICE,TUUFUI Jaice,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,Province Sud:17,1,nouveau_2026_exact
JAMES WAMEJONENGO,NA,NA,NA,NA,NA,NA,WAMEJONENGO JAMES,WAMEJONENGO James,Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,Province des Iles:21,1,nouveau_2026_exact
JAMET VAYANNA,NA,NA,NA,NA,NA,NA,JAMET VAYANNA,JAMET Vayanna,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:10,1,nouveau_2026_exact
JEAN KARTODIMEDJO YVES,NA,NA,NA,NA,NA,NA,KARTODIMEDJO JEAN YVES,KARTODIMEDJO Jean-Yves,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:19,1,nouveau_2026_exact
JEAN KELETAONA,NA,NA,NA,NA,NA,NA,KELETAONA JEAN,KELETAONA Jean,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:38,1,nouveau_2026_exact
JEAN LAPACAS,NA,NA,NA,NA,NA,NA,LAPACAS JEAN,LAPACAS Jean,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:28,1,nouveau_2026_exact
JEAN LOUIS NEWEDOU,NA,NA,NA,NA,NA,NA,NEWEDOU JEAN LOUIS,NEWEDOU Jean-Louis,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:12,1,nouveau_2026_exact
JEAN MALO PIERRE,NA,NA,NA,NA,NA,NA,MALO JEAN PIERRE,MALO Jean-Pierre,Province des Iles,Province des Iles - 03 - BASELAIA,Province des Iles:13,1,nouveau_2026_exact
JEAN MARC ROBERT,NA,NA,NA,NA,NA,NA,ROBERT JEAN MARC,ROBERT Jean-Marc,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:13,1,nouveau_2026_exact
JEAN MARC VOUDIJO,NA,NA,NA,NA,NA,NA,VOUDIJO JEAN MARC,VOUDIJO Jean-Marc,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:17,1,nouveau_2026_exact
JEAN MICHEL WADEWI WASHETINE,NA,NA,NA,NA,NA,NA,WASHETINE JEAN MICHEL WADEWI,"WASHETINE Jean-Michel, Wadewi",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,Province des Iles:14,1,nouveau_2026_exact
JEAN MICHEL WAITREU,NA,NA,NA,NA,NA,NA,WAITREU JEAN MICHEL,WAITREU Jean-Michel,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,Province des Iles:14,1,nouveau_2026_exact
JEAN NOEL SOLE,NA,NA,NA,NA,NA,NA,SOLE JEAN NOEL,SOLE Jean Noel,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:11,1,nouveau_2026_exact
JEAN OBRY,NA,NA,NA,NA,NA,NA,OBRY JEAN,OBRY Jean,Province Nord,Province Nord - 01 - AGISSONS ENSEMBLE POUR LE NORD,Province Nord:22,1,nouveau_2026_exact
JEAN OUABINE TREN,NA,NA,NA,NA,NA,NA,OUABINE TREN JEAN,"OUABINE Tren, Jean",Province des Iles,Province des Iles - 03 - BASELAIA,Province des Iles:17,1,nouveau_2026_exact
JEAN PASCAL SAMIN SOEGIANTO,NA,NA,NA,NA,NA,NA,SAMIN JEAN PASCAL SOEGIANTO,SAMIN Jean Pascal Soegianto,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:17,1,nouveau_2026_exact
JEAN PIERRE SELEFEN,NA,NA,NA,NA,NA,NA,SELEFEN JEAN PIERRE,SELEFEN Jean-Pierre,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:05,1,nouveau_2026_exact
JEAN POITHILI YVES,NA,NA,NA,NA,NA,NA,POITHILI JEAN YVES,POITHILI Jean-Yves,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:27,1,nouveau_2026_exact
JEAN POUYA THIERRY YVES,NA,NA,NA,NA,NA,NA,POUYA THIERRY JEAN YVES,POUYA Thierry Jean-Yves,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,Province Nord:05,1,nouveau_2026_exact
JEANNINE WAHEA,NA,NA,NA,NA,NA,NA,WAHEA JEANNINE,WAHEA Jeannine”,Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,Province des Iles:07,1,nouveau_2026_exact
JENNIFER PREVEL SARAH,NA,NA,NA,NA,NA,NA,PREVEL JENNIFER SARAH,"PREVEL Jennifer, Sarah",Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,Province Sud:04,1,nouveau_2026_exact
JEREMIE KATIDJO MONNIER,NA,NA,NA,NA,NA,NA,KATIDJO MONNIER JEREMIE,KATIDJO MONNIER Jérémie,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",Province Sud:05,1,nouveau_2026_exact
JEROME PIME ZOZIMO,NA,NA,NA,NA,NA,NA,PIME JEROME ZOZIMO,PIME JEROME ZOZIMO,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:19,1,nouveau_2026_exact
JEROME VAKOUME,NA,NA,NA,NA,NA,NA,VAKOUME JEROME,VAKOUME Jerome,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:06,1,nouveau_2026_exact
JESSICA MARENGO,NA,NA,NA,NA,NA,NA,MARENGO JESSICA,MARENGO Jessica,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,Province Sud:35,1,nouveau_2026_exact
JESSICA TEIN WENENINA,NA,NA,NA,NA,NA,NA,TEIN WENENINA JESSICA,TEIN ép. WENENINA Jessica,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:22,1,nouveau_2026_exact
JESSICA YEKAWENE,NA,NA,NA,NA,NA,NA,YEKAWENE JESSICA,YEKAWENE Jessica,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:48,1,nouveau_2026_exact
JEWINE KUGOGNE LAURA YABUNE,NA,NA,NA,NA,NA,NA,KUGOGNE JEWINE LAURA YABUNE,KUGOGNE EPOUSE JEWINE LAURA YABUNE,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:16,1,nouveau_2026_exact
JIMMY VEA,NA,NA,NA,NA,NA,NA,VEA JIMMY,VEA Jimmy,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,Province Sud:19,1,nouveau_2026_exact
JINAKOA ROSELYNE,NA,NA,NA,NA,NA,NA,JINAKOA ROSELYNE,JINAKOA Roselyne,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:48,1,nouveau_2026_exact
JOANN PIDRA XENIE,NA,NA,NA,NA,NA,NA,PIDRA JOANN XENIE,. PIDRA Joann Xenie,Province des Iles,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,Province des Iles:01,1,nouveau_2026_exact
JOCELYNE NECHERO,NA,NA,NA,NA,NA,NA,NECHERO JOCELYNE,NECHERO Jocelyne,Province Nord,Province Nord - 03 - UC FLNKS,Province Nord:24,1,nouveau_2026_exact
JOHANITO WAMYTAN,NA,NA,NA,NA,NA,NA,WAMYTAN JOHANITO,WAMYTAN Johanito,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:01,1,nouveau_2026_exact
JOHN ROCK TINDAO,NA,NA,NA,NA,NA,NA,TINDAO JOHN ROCK,: TINDAO John Rock,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",Province Sud:19,1,nouveau_2026_exact
JOHN RUCKEBUSCH,NA,NA,NA,NA,NA,NA,RUCKEBUSCH JOHN,RUCKEBUSCH John,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:24,1,nouveau_2026_exact
JOMESSY PATRICK,NA,NA,NA,NA,NA,NA,JOMESSY PATRICK,JOMESSY Patrick,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,Province des Iles:18,1,nouveau_2026_exact
JOSE WENDT,NA,NA,NA,NA,NA,NA,WENDT JOSE,WENDT José,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:47,1,nouveau_2026_exact
JOSEE KONDOLO,NA,NA,NA,NA,NA,NA,KONDOLO JOSEE,KONDOLO Josée,Province Nord,Province Nord - 03 - UC FLNKS,Province Nord:08,1,nouveau_2026_exact
JOSEPH LEON PEYRONNET,NA,NA,NA,NA,NA,NA,PEYRONNET LEON JOSEPH,PEYRONNET Léon-Joseph,Province Sud,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,Province Sud:50,1,nouveau_2026_exact
JOSEPH TAOM,NA,NA,NA,NA,NA,NA,TAOM JOSEPH,TAOM Joseph,Province des Iles,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,Province des Iles:19,1,nouveau_2026_exact
JOSHUA TAOFIFENUA,NA,NA,NA,NA,NA,NA,TAOFIFENUA JOSHUA,TAOFIFENUA JOSHUA,Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:13,1,nouveau_2026_exact
JUANITA TINDAO,NA,NA,NA,NA,NA,NA,TINDAO JUANITA,TINDAO Juanita,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:17,1,nouveau_2026_exact
JULIA KATHY SCIENDI,NA,NA,NA,NA,NA,NA,SCIENDI KATHY JULIA,". SCIENDI Kathy, Julia",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,Province des Iles:15,1,nouveau_2026_exact
JULIEN KAOUMA MALAWIE MARIE MINDIA,NA,NA,NA,NA,NA,NA,KAOUMA MINDIA MALAWIE MARIE JULIEN,KAOUMA EPOUSE MINDIA MALAWIE MARIE-JULIEN,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:12,1,nouveau_2026_exact
JUNIQATRENE,NA,NA,NA,NA,NA,NA,JUNIQATRENE,JUNIQATRENÉ,Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:06,1,nouveau_2026_exact
KAATEU MAURICE,NA,NA,NA,NA,NA,NA,KAATEU MAURICE,. KAATEU Maurice,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",Province Sud:07,1,nouveau_2026_exact
KAGY SAM,NA,NA,NA,NA,NA,NA,KAGY SAM,KAGY Sam,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:12,1,nouveau_2026_exact
KAIKILEKOFE MELEKIATE,NA,NA,NA,NA,NA,NA,KAIKILEKOFE MELEKIATE,KAIKILEKOFE Melekiate,Province Sud,Province Sud - 01 - UN AUTRE MONDE EST POSSIBLE !,Province Sud:42,1,nouveau_2026_exact
KAINDA MARIE ROSINE,NA,NA,NA,NA,NA,NA,KAINDA MARIE ROSINE,KAINDA Marie-Rosine,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:42,1,nouveau_2026_exact
KAKUE ROBERT,NA,NA,NA,NA,NA,NA,KAKUE ROBERT,KAKUE ROBERT,Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:01,1,nouveau_2026_exact
KALISITO MUSUMUSU,NA,NA,NA,NA,NA,NA,MUSUMUSU KALISITO,MUSUMUSU Kalisito,Province Sud,"Province Sud - 05 - UNE PROVINCE POUR TOUS, UN PAYS SOLIDAIRE UN AVENIR",Province Sud:46,1,nouveau_2026_exact
KAOUA PHILIPPE WEDOI,NA,NA,NA,NA,NA,NA,WEDOI PHILIPPE KAOUA,WEDOI Philippe Kaoua,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,Province Sud:31,1,nouveau_2026_exact
KAPISSIRI MILCA,NA,NA,NA,NA,NA,NA,KAPISSIRI MILCA,KAPISSIRI Milca,Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,Province Sud:22,1,nouveau_2026_exact
KAREEN MEBOEDE,NA,NA,NA,NA,NA,NA,MEBOEDE KAREEN,MEBOEDE Kareen,Province Nord,Province Nord - 01 - AGISSONS ENSEMBLE POUR LE NORD,Province Nord:17,1,nouveau_2026_exact
KAREEN RENAUD,NA,NA,NA,NA,NA,NA,RENAUD KAREEN,RENAUD Kareen,Province Sud,Province Sud - 12 - UN ESPOIR POUR DEMAIN,Province Sud:38,1,nouveau_2026_exact
KAREEN UJICAS,NA,NA,NA,NA,NA,NA,UJICAS KAREEN,UJICAS Kareen,Province des Iles,Province des Iles - 06 - S'ENGAGER ET OEUVRER POUR LA PROSPERITE DE NOTRE,Province des Iles:16,1,nouveau_2026_exact
KAREMBEU MARIE OLANDE,NA,NA,NA,NA,NA,NA,KAREMBEU MARIE Y OLANDE,KAREMBEU Marie-Y olande,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:14,1,nouveau_2026_exact
KAREMBEU NINIE,NA,NA,NA,NA,NA,NA,KAREMBEU NINIE,KAREMBEU Ninie,Province Nord,Province Nord - 04 - FAIRE PAYS,Province Nord:24,1,nouveau_2026_exact
KAREN NG,NA,NA,NA,NA,NA,NA,NG KAREN,NG Karen,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",Province Sud:14,1,nouveau_2026_exact
KARINE LAIGLE,NA,NA,NA,NA,NA,NA,LAIGLE KARINE,LAIGLE Karine,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),Province Nord:12,1,nouveau_2026_exact
KARL LAIGLE,NA,NA,NA,NA,NA,NA,LAIGLE KARL,LAIGLE Karl,Province Sud,Province Sud - 08 - POUR UNE CALEDONIE FRANCAISE,Province Sud:09,1,nouveau_2026_exact
KARLENN TERIA,NA,NA,NA,NA,NA,NA,TERIA KARLENN,TERIA Karlenn,Province Sud,Province Sud - 10 - LES LOYALISTES ET LE RASSEMBLEMENT-FORTS ET UNIS,Province Sud:47,1,nouveau_2026_exact
KARYL TRENYIWA,NA,NA,NA,NA,NA,NA,TRENYIWA KARYL,TRENYIWA Karyl,Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,Province des Iles:01,1,nouveau_2026_exact
KATE KATE LUCIEN,NA,NA,NA,NA,NA,NA,KATE LUCIEN KATE,"KATE Lucien, Katé",Province des Iles,Province des Iles - 03 - BASELAIA,Province des Iles:19,1,nouveau_2026_exact
KATEII MIREILLE VLASSA,NA,NA,NA,NA,NA,NA,KATEII VLASSA MIREILLE,KATEÏI Vlassa Mireille,Province des Iles,Province des Iles - 05 - UC FLNKS ILES,Province des Iles:10,1,nouveau_2026_exact
KAUDRE RENE,NA,NA,NA,NA,NA,NA,KAUDRE RENE,KAUDRE RENE,Province des Iles,Province des Iles - 07 - UNION POUR CONSTRUIRE DANS LE CONSENSUS,Province des Iles:03,1,nouveau_2026_exact
KAWA LEYLA,NA,NA,NA,NA,NA,NA,KAWA LEYLA,KAWA LEYLA,Province Sud,Province Sud - 07 - FAIRE PAYS,Province Sud:36,1,nouveau_2026_exact
KAWO NAPORAPOE NIONE PADOME,NA,NA,NA,NA,NA,NA,PADOME NAPORAPOE KAWO NIONE,"PADOME ép.NAPORAPOE Kawo, Nione",Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:48,1,nouveau_2026_exact
KAZONE PAUL PHILIPPE PUIONO,NA,NA,NA,NA,NA,NA,KAZONE PAUL PHILIPPE PUIONO,"KAZÔNE Paul, Philippe, Puiono",Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,Province des Iles:12,1,nouveau_2026_exact
KELETAONA MARIA VIOLAINE,NA,NA,NA,NA,NA,NA,KELETAONA MARIA VIOLAINE,KELETAONA Maria-Violaine,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,Province Sud:15,1,nouveau_2026_exact
KEMEDJIE NICOLAS SELEFEN,NA,NA,NA,NA,NA,NA,SELEFEN NICOLAS KEMEDJIE,SELEFEN Nicolas Kemedjie,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,Province Sud:47,1,nouveau_2026_exact
