annee,scrutin,date_scrutin,source_arrete,province,numero_liste,liste_nom,couleur_bulletin,embleme,rang,nom_prenoms,sexe,page_source,source_url,nom_normalise,nom_cle_comparaison,ocr_a_verifier,liste_id
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,25,Yoan KOUATHE,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,YOAN KOUATHE,KOUATHE YOAN,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,26,Keyla VAMA,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,KEYLA VAMA,KEYLA VAMA,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,27,Erwin FARAIRE,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,ERWIN FARAIRE,ERWIN FARAIRE,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,28,Fiona LEVY,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,FIONA LEVY,FIONA LEVY,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,29,Enzo VAMA,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,ENZO VAMA,ENZO VAMA,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,30,Marjorie BRUKOA,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,MARJORIE BRUKOA,BRUKOA MARJORIE,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,31,Jone ELE-HMAEA,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,JONE ELE HMAEA,ELE HMAEA JONE,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,32,Sindy KASOVIMOIN,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,SINDY KASOVIMOIN,KASOVIMOIN SINDY,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,33,Wilson BISHOP,M,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,WILSON BISHOP,BISHOP WILSON,FALSE,2019_Province Sud_01
2019,provinciales_2019,2019-05-12,elections-nc.fr candidatures 2019,Province Sud,1,MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),NA,NA,34,Louisa WAETHEANE,F,NA,https://www.elections-nc.fr/elections-2018-2020/elections-provinciales-2019/candidatures-provinciales/candidatures-province-sud,LOUISA WAETHEANE,LOUISA WAETHEANE,FALSE,2019_Province Sud_01
