nom_cle_comparaison_2019,nom_cle_comparaison_2026,nom_affiche_2019,province_2019,liste_2019,rang_2019,nom_affiche_2026,province_2026,liste_2026,rang_2026,nom_clean_2019,nom_clean_2026,tokens_2019,tokens_2026,tokens_communs,nb_tokens_communs,nb_tokens_rares_communs,n_tokens_2019,n_tokens_2026,dice_tokens,lev_distance,lev_ratio,meme_province,tokens_non_prenoms_communs,a_token_non_prenom_commun
ALEXANDRE NEMEBREUX,ALEXANDRE MICHAEL TAURAATUA,Alexandre NEMEBREUX,Province Sud,Caledoniens Ensemble,25,TAURAATUA Michaël Alexandre,Province Sud,"Nous, reunis",37,ALEXANDRE NEMEBREUX ALEXANDRE NEMEBREUX,ALEXANDRE MICHAEL TAURAATUA TAURAATUA MICHAEL ALEXANDRE,ALEXANDRE|NEMEBREUX,ALEXANDRE|MICHAEL|TAURAATUA,ALEXANDRE,1,1,2,3,0.4,36,0.6545454545454545,TRUE,ALEXANDRE,TRUE
BROUILLON HERVE,ANDRE DUQUESNE HERVE,Hervé BROUILLON,Province Sud,Construire autrement,21,"DUQUESNE Hervé, André",Province Sud,Souverainete Kanaky NC,39,BROUILLON HERVE HERVE BROUILLON,ANDRE DUQUESNE HERVE DUQUESNE HERVE ANDRE,BROUILLON|HERVE,ANDRE|DUQUESNE|HERVE,HERVE,1,1,2,3,0.4,27,0.6585365853658537,TRUE,HERVE,TRUE
DEVILLERS NADINE,ALLARD NADINE PIDJOT,Nadine DEVILLERS,Province Sud,Rassemblement national,50,PIDJOT-ALLARD Nadine,Province Sud,"Nous, reunis",2,DEVILLERS NADINE NADINE DEVILLERS,ALLARD NADINE PIDJOT PIDJOT ALLARD NADINE,DEVILLERS|NADINE,ALLARD|NADINE|PIDJOT,NADINE,1,1,2,3,0.4,27,0.6585365853658537,TRUE,NADINE,TRUE
KILAMA LUCIA VAIAGINA,KOTRA LUCIA,Lucia KILAMA née VAIAGINA,Province Sud,L'Eveil oceanien,22,KOTRA Lucia,Province Sud,Kanaky pour tous,10,KILAMA LUCIA VAIAGINA LUCIA KILAMA NEE VAIAGINA,KOTRA LUCIA KOTRA LUCIA,KILAMA|LUCIA|VAIAGINA,KOTRA|LUCIA,LUCIA,1,1,3,2,0.4,31,0.6595744680851063,TRUE,LUCIA,TRUE
CILAKO ODETTE SINYEUE,ODETTE UEDRE,Odette SINYEUE née CILAKO,Province Sud,Alliance citoyenne pour la transition,23,UEDRE Odette,Province Sud,Kanaky pour tous,50,CILAKO ODETTE SINYEUE ODETTE SINYEUE NEE CILAKO,ODETTE UEDRE UEDRE ODETTE,CILAKO|ODETTE|SINYEUE,ODETTE|UEDRE,ODETTE,1,1,3,2,0.4,31,0.6595744680851063,TRUE,ODETTE,TRUE
QAEKO ROXANE WAITRONYIE,QAEKO SIAPO,"Roxane, Qaeko WAITRONYIE",Province des Iles,Nouvelle vision des Iles,16,SIAPO Qaeko,Province des Iles,Un nouveau souffle,4,QAEKO ROXANE WAITRONYIE ROXANE QAEKO WAITRONYIE,QAEKO SIAPO SIAPO QAEKO,QAEKO|ROXANE|WAITRONYIE,QAEKO|SIAPO,QAEKO,1,1,3,2,0.4,31,0.6595744680851063,TRUE,QAEKO,TRUE
CROMBEZ MELISSA,LUCYNDA MELISSA MOENIR,Mélissa CROMBEZ,Province Sud,Caledonie nouvelle et reunie,6,MOENIR Lucynda Melissa,Province Sud,Souverainete Kanaky NC,8,CROMBEZ MELISSA MELISSA CROMBEZ,LUCYNDA MELISSA MOENIR MOENIR LUCYNDA MELISSA,CROMBEZ|MELISSA,LUCYNDA|MELISSA|MOENIR,MELISSA,1,1,2,3,0.4,30,0.6666666666666666,TRUE,MELISSA,TRUE
AGOURERE DIACOMA NICOLE,MOREAU NICOLE,Nicole DIACOMA épouse AGOURERE,Province Sud,Parti travailliste et forces progressistes,42,MOREAU Nicole,Province Sud,"Nous, reunis",28,AGOURERE DIACOMA NICOLE NICOLE DIACOMA EPOUSE AGOURERE,MOREAU NICOLE MOREAU NICOLE,AGOURERE|DIACOMA|NICOLE,MOREAU|NICOLE,NICOLE,1,1,3,2,0.4,36,0.6666666666666666,TRUE,NICOLE,TRUE
SINAMO TOATITI VANESSA,BEOU VANESSA,Vanessa TOATITI ép SINAMO,Province Sud,Destin commun caledonien,34,BEOU Vanessa,Province Sud,Alliance Pacifik enracinee,43,SINAMO TOATITI VANESSA VANESSA TOATITI EP SINAMO,BEOU VANESSA BEOU VANESSA,SINAMO|TOATITI|VANESSA,BEOU|VANESSA,VANESSA,1,1,3,2,0.4,32,0.6666666666666666,TRUE,VANESSA,TRUE
DRILE FRANCOIS WAHETRA,WAHETRA WALI,"François, Drile WAHETRA",Province des Iles,Nouvelle vision des Iles,21,Ï WAHETRA Wali,Province des Iles,Palika Iles,1,DRILE FRANCOIS WAHETRA FRANCOIS DRILE WAHETRA,WAHETRA WALI I WAHETRA WALI,DRILE|FRANCOIS|WAHETRA,WAHETRA|WALI,WAHETRA,1,1,3,2,0.4,30,0.6666666666666666,TRUE,WAHETRA,TRUE
