nom_cle_comparaison_2019,nom_affiche_2019,provinces_2019,listes_2019,nom_cle_comparaison_2026,nom_affiche_2026,provinces_2026,listes_2026,nb_tokens_communs,dice_tokens,jw_distance,statut
DIALLA DORIANE POYMEGNA,"Doriane, Dialla POYMEGNA",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),DORIANE POYMEGNA,POYMEGNA Doriane,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),2,0.8,0.23192934782608696,rapprochement_tokens_a_verifier
PATRICE VIASSONE,Patrice VIASSONE,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,MARIE PATRICE VIASSONE,"VIASSONE Patrice, Marie",Province Nord,Province Nord - 01 - AGISSONS ENSEMBLE POUR LE NORD,2,0.8,0.24715909090909083,rapprochement_tokens_a_verifier
GILLES NAHIET,Gilles NAHIET,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,FANGIO GILLES NAHIET,NAHIET Gilles Fangio,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,2,0.8,0.25769230769230766,rapprochement_tokens_a_verifier
MACCAM PIERRE,Pierre MACCAM,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),CHRISTIAN MACCAM PIERRE,MACCAM Pierre Christian,Province Sud,Province Sud - 06 - SOUVERAINETE KANAKY NOUVELLE-CALEDONIE,2,0.8,0.27313266443701234,rapprochement_tokens_a_verifier
GEORGES SAIHULIWA SINAWE,"Georges, Sinawë SAIHULIWA",Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,SAIHULIWA SINAWE,SAIHULIWA Sinawë,Province des Iles,Province des Iles - 02 - UN NOUVEAU SOUFFLE,2,0.8,0.2777777777777779,rapprochement_tokens_a_verifier
GUAENERE JEANNINE WAHEA,Jeannine WAHEA née GUAENERE,Province des Iles,Province des Iles - 05 - DYNAMIQUE AUTOCHTONE,JEANNINE WAHEA,WAHEA Jeannine”,Province des Iles,Province des Iles - 04 - NATION AUTOCHTONE,2,0.8,0.28519668737060044,rapprochement_tokens_a_verifier
ANTOINETTE ITHUPANE TIEOUE,"Ithupane, Antoinette TIEOUE",Province Sud,Province Sud - 07 - FLNKS,ITHUPANE TIEOUE,TIEOUE Ithupane,Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,2,0.8,0.28547008547008557,rapprochement_tokens_a_verifier
FAIVRE GISELE MARIE NADEIGE WACKENTHALER,"Nadeige, Gisèle, Marie WACKENTHALER ép FAIVRE",Province Nord,Province Nord - 01 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),FAIVRE NADEIGE WACKENTHALER,+ WACKENTHALER ép. FAIVRE Nadeige,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),3,0.75,0.13537037037037036,rapprochement_tokens_a_verifier
BOIGUIVIE MARIE SHOLASTIQUE,Marie Sholastique BOIGUIVIE,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,BOIGUIVIE MARIE SCHOLASTIQUE,BOIGUIVIE Marie Scholastique,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,2,0.6666666666666666,0.0071428571428571175,rapprochement_tokens_a_verifier
CHRISTINE MARIE MINDIA,Marie-Christine MINDIA,Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),CHRISTINE MARIE NEWEDOU,NEWEDOU Marie-Christine,Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,2,0.6666666666666666,0.0798418972332016,rapprochement_tokens_a_verifier
CHRISTINE MARIE MINDIA,Marie-Christine MINDIA,Province des Iles,Province des Iles - 07 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE ILES (MNIS ILES),CHRISTINE MARIE WAHNAWE,WAHNAWE Marie-Christine,Province Sud,"Province Sud - 09 - NOUS, REUNIS!",2,0.6666666666666666,0.09095300834431264,rapprochement_tokens_a_verifier
JEAN LOUIS SINEWAMI,Jean-Louis SINEWAMI,Province des Iles,Province des Iles - 06 - NOUVELLE VISION DES ILES,JEAN LOUIS NEWEDOU,NEWEDOU Jean-Louis,Province Sud,Province Sud - 04 - ALLIANCE PACIFIK ENRACINEE,2,0.6666666666666666,0.09707602339181289,rapprochement_tokens_a_verifier
JEAN MARC PEAROU,Jean-Marc PEAROU,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,JEAN MARC ROBERT,ROBERT Jean-Marc,Province Nord,Province Nord - 04 - FAIRE PAYS,2,0.6666666666666666,0.09807692307692313,rapprochement_tokens_a_verifier
FRANCE MANDAOUE MARIE,Marie-France MANDAOUE,Province Nord,Province Nord - 05 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE NORD (MNIS NORD),FRANCE MARIE MATSUDA,MATSUDA Marie-France,Province Sud,"Province Sud - 03 - FRANCE CALEDONIE, UNE PATRIE",2,0.6666666666666666,0.09857142857142862,rapprochement_tokens_a_verifier
AMANDINE DARRAS JULIETTE RENEE,"Amandine, Juliette, Renée DARRAS",Province Sud,Province Sud - 07 - FLNKS,AMANDINE DARRAS,DARRAS Amandine,Province Sud,Province Sud - 02 - KANAKY POUR TOUS,2,0.6666666666666666,0.10000000000000005,rapprochement_tokens_a_verifier
JEAN KUILAGI PIERRE,Jean-Pierre KUILAGI,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,JEAN MALO PIERRE,MALO Jean-Pierre,Province des Iles,Province des Iles - 03 - BASELAIA,2,0.6666666666666666,0.10620300751879697,rapprochement_tokens_a_verifier
JEAN MARC PEAROU,Jean-Marc PEAROU,Province Nord,Province Nord - 04 - PARTI TRAVAILLISTE « OSONS LE CHANGEMENT »,JEAN MARC VOUDIJO,VOUDIJO Jean-Marc,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),2,0.6666666666666666,0.10882352941176472,rapprochement_tokens_a_verifier
CAIHE ELIANE SENE WAITRONYIE,Eliane Senë WAITRONYIE ep CAIHE,Province des Iles,Province des Iles - 08 - PALIKA ILES,CAIHE ELIANE,CAIHE Eliane,Province des Iles,Province des Iles - 01 - PALIKA ÎLES,2,0.6666666666666666,0.11428571428571427,rapprochement_tokens_a_verifier
JEAN MALEJAC YVES,Jean-Yves MALEJAC,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,JEAN KARTODIMEDJO YVES,KARTODIMEDJO Jean-Yves,Province Nord,Province Nord - 02 - ALTERNATIVE NORD POUR UN PAYS SOUVERAIN,2,0.6666666666666666,0.1223071046600458,rapprochement_tokens_a_verifier
JEAN WAIMO YVES,Jean-Yves WAIMO,Province des Iles,Province des Iles - 03 - PARTI TRAVAILLISTE,JEAN POITHILI YVES,POITHILI Jean-Yves,Province Nord,Province Nord - 04 - FAIRE PAYS,2,0.6666666666666666,0.12333333333333335,rapprochement_tokens_a_verifier
JEAN MARC NEDENON,Jean Marc NEDENON,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,JEAN MARC ROBERT,ROBERT Jean-Marc,Province Nord,Province Nord - 04 - FAIRE PAYS,2,0.6666666666666666,0.12549019607843137,rapprochement_tokens_a_verifier
CHANEL FLORES PIERRE,Pierre-Chanel FLORES,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,CHANEL NONMOIRA PIERRE,NONMOIRA Pierre-Chanel,Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,2,0.6666666666666666,0.12579545454545457,rapprochement_tokens_a_verifier
CHANEL LIUFAU PIERRE,Pierre-Chanel LIUFAU,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,CHANEL NONMOIRA PIERRE,NONMOIRA Pierre-Chanel,Province Sud,Province Sud - 11 - UNIS POUR LE PAYS,2,0.6666666666666666,0.13204545454545455,rapprochement_tokens_a_verifier
JEAN MARC NEDENON,Jean Marc NEDENON,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,JEAN MARC VOUDIJO,VOUDIJO Jean-Marc,Province Nord,Province Nord - 05 - UNION NATIONALE POUR L'INDEPENDANCE (UNI),2,0.6666666666666666,0.13431372549019605,rapprochement_tokens_a_verifier
