election,tour,code_departement,code_commune,commune,commune_norm,code_bv,bureau_nom,bloc,camp_institutionnel,inscrits,votants,abstentions,exprimes,blancs,nuls,voix_bloc,longitude,latitude,geo_source,nb_options,options,pct_exprimes,pct_inscrits
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0002,Hôtel de ville 2,autre,neutre,902,250,652,237,9,4,5,166.457501065839,-22.1675460417822,etablissements_publics_nc,3,Construire autrement | Sans etiquette,2.11,0.55
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0002,Hôtel de ville 2,independantiste,independantiste,902,250,652,237,9,4,33,166.457501065839,-22.1675460417822,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,13.92,3.66
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0002,Hôtel de ville 2,loyaliste,anti_independantiste,902,250,652,237,9,4,199,166.457501065839,-22.1675460417822,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,83.97,22.06
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0003,Hôtel de ville 3,autre,neutre,1008,281,727,268,12,1,12,166.457501065839,-22.1675460417822,etablissements_publics_nc,3,Construire autrement | Sans etiquette,4.48,1.19
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0003,Hôtel de ville 3,independantiste,independantiste,1008,281,727,268,12,1,42,166.457501065839,-22.1675460417822,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,15.67,4.17
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0003,Hôtel de ville 3,loyaliste,anti_independantiste,1008,281,727,268,12,1,214,166.457501065839,-22.1675460417822,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,79.85,21.23
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0004,Ecole primaire Mainguet 1,autre,neutre,1000,297,703,289,6,2,24,166.474584305922,-22.2148395317313,etablissements_publics_nc,3,Construire autrement | Sans etiquette,8.3,2.4
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0004,Ecole primaire Mainguet 1,independantiste,independantiste,1000,297,703,289,6,2,61,166.474584305922,-22.2148395317313,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,21.11,6.1
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0004,Ecole primaire Mainguet 1,loyaliste,anti_independantiste,1000,297,703,289,6,2,204,166.474584305922,-22.2148395317313,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,70.59,20.4
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0005,Ecole primaire Mainguet 2,autre,neutre,611,113,498,109,2,2,8,166.474584305922,-22.2148395317313,etablissements_publics_nc,3,Construire autrement | Sans etiquette,7.34,1.31
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0005,Ecole primaire Mainguet 2,independantiste,independantiste,611,113,498,109,2,2,17,166.474584305922,-22.2148395317313,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,15.6,2.78
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0005,Ecole primaire Mainguet 2,loyaliste,anti_independantiste,611,113,498,109,2,2,84,166.474584305922,-22.2148395317313,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,77.06,13.75
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0006,Maison de la jeunesse 1,autre,neutre,976,357,619,349,7,1,8,166.474913290828,-22.2056811434969,etablissements_publics_nc,3,Construire autrement | Sans etiquette,2.29,0.82
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0006,Maison de la jeunesse 1,independantiste,independantiste,976,357,619,349,7,1,34,166.474913290828,-22.2056811434969,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,9.74,3.48
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0006,Maison de la jeunesse 1,loyaliste,anti_independantiste,976,357,619,349,7,1,307,166.474913290828,-22.2056811434969,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,87.97,31.45
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0007,Maison de la jeunesse 2,autre,neutre,895,339,556,326,9,4,15,166.474913290828,-22.2056811434969,etablissements_publics_nc,3,Construire autrement | Sans etiquette,4.6,1.68
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0007,Maison de la jeunesse 2,independantiste,independantiste,895,339,556,326,9,4,18,166.474913290828,-22.2056811434969,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,5.52,2.01
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0007,Maison de la jeunesse 2,loyaliste,anti_independantiste,895,339,556,326,9,4,293,166.474913290828,-22.2056811434969,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,89.88,32.74
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0008,Centre culturel de Dumbéa 1,autre,neutre,887,234,653,226,5,3,8,166.474126141924,-22.2081759337081,etablissements_publics_nc,3,Construire autrement | Sans etiquette,3.54,0.9
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0008,Centre culturel de Dumbéa 1,independantiste,independantiste,887,234,653,226,5,3,26,166.474126141924,-22.2081759337081,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,11.5,2.93
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0008,Centre culturel de Dumbéa 1,loyaliste,anti_independantiste,887,234,653,226,5,3,192,166.474126141924,-22.2081759337081,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,84.96,21.65
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0009,Centre culturel de Dumbéa 2,autre,neutre,1031,281,750,266,12,3,4,166.474126141924,-22.2081759337081,etablissements_publics_nc,3,Construire autrement | Sans etiquette,1.5,0.39
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0009,Centre culturel de Dumbéa 2,independantiste,independantiste,1031,281,750,266,12,3,50,166.474126141924,-22.2081759337081,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,18.8,4.85
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0009,Centre culturel de Dumbéa 2,loyaliste,anti_independantiste,1031,281,750,266,12,3,212,166.474126141924,-22.2081759337081,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,79.7,20.56
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0010,Centre culturel de Dumbéa 3,autre,neutre,875,315,560,306,9,0,14,166.474126141924,-22.2081759337081,etablissements_publics_nc,3,Construire autrement | Sans etiquette,4.58,1.6
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0010,Centre culturel de Dumbéa 3,independantiste,independantiste,875,315,560,306,9,0,31,166.474126141924,-22.2081759337081,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,10.13,3.54
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0010,Centre culturel de Dumbéa 3,loyaliste,anti_independantiste,875,315,560,306,9,0,261,166.474126141924,-22.2081759337081,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,85.29,29.83
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0011,Ecole primaire Gustave Clain 1,autre,neutre,886,249,637,241,4,4,9,166.460870510376,-22.2089353285944,etablissements_publics_nc,3,Construire autrement | Sans etiquette,3.73,1.02
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0011,Ecole primaire Gustave Clain 1,independantiste,independantiste,886,249,637,241,4,4,18,166.460870510376,-22.2089353285944,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,7.47,2.03
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0011,Ecole primaire Gustave Clain 1,loyaliste,anti_independantiste,886,249,637,241,4,4,214,166.460870510376,-22.2089353285944,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,88.8,24.15
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0012,Ecole primaire Gustave Clain 2,autre,neutre,966,268,698,265,1,2,11,166.460870510376,-22.2089353285944,etablissements_publics_nc,3,Construire autrement | Sans etiquette,4.15,1.14
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0012,Ecole primaire Gustave Clain 2,independantiste,independantiste,966,268,698,265,1,2,43,166.460870510376,-22.2089353285944,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,16.23,4.45
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0012,Ecole primaire Gustave Clain 2,loyaliste,anti_independantiste,966,268,698,265,1,2,211,166.460870510376,-22.2089353285944,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,79.62,21.84
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0013,Ecole maternelle l'Oasis 1,autre,neutre,799,302,497,292,5,5,17,166.461460951246,-22.2085634346196,etablissements_publics_nc,3,Construire autrement | Sans etiquette,5.82,2.13
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0013,Ecole maternelle l'Oasis 1,independantiste,independantiste,799,302,497,292,5,5,30,166.461460951246,-22.2085634346196,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,10.27,3.75
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0013,Ecole maternelle l'Oasis 1,loyaliste,anti_independantiste,799,302,497,292,5,5,245,166.461460951246,-22.2085634346196,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,83.9,30.66
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0014,Ecole maternelle l'Oasis 2,autre,neutre,785,258,527,246,11,1,4,166.461460951246,-22.2085634346196,etablissements_publics_nc,3,Construire autrement | Sans etiquette,1.63,0.51
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0014,Ecole maternelle l'Oasis 2,independantiste,independantiste,785,258,527,246,11,1,28,166.461460951246,-22.2085634346196,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,11.38,3.57
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0014,Ecole maternelle l'Oasis 2,loyaliste,anti_independantiste,785,258,527,246,11,1,214,166.461460951246,-22.2085634346196,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,86.99,27.26
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0015,Groupe scolaire Michelle Delacharlerie-Rolly 1,autre,neutre,543,153,390,147,3,3,9,166.445998676866,-22.2013803961715,etablissements_publics_nc,3,Construire autrement | Sans etiquette,6.12,1.66
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0015,Groupe scolaire Michelle Delacharlerie-Rolly 1,independantiste,independantiste,543,153,390,147,3,3,18,166.445998676866,-22.2013803961715,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,12.24,3.31
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0015,Groupe scolaire Michelle Delacharlerie-Rolly 1,loyaliste,anti_independantiste,543,153,390,147,3,3,120,166.445998676866,-22.2013803961715,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,81.63,22.1
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0016,Groupe scolaire Michelle Delacharlerie-Rolly 2,autre,neutre,819,186,633,179,5,2,15,166.445998676866,-22.2013803961715,etablissements_publics_nc,3,Construire autrement | Sans etiquette,8.38,1.83
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0016,Groupe scolaire Michelle Delacharlerie-Rolly 2,independantiste,independantiste,819,186,633,179,5,2,34,166.445998676866,-22.2013803961715,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,18.99,4.15
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0016,Groupe scolaire Michelle Delacharlerie-Rolly 2,loyaliste,anti_independantiste,819,186,633,179,5,2,130,166.445998676866,-22.2013803961715,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,72.63,15.87
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0017,Groupe scolaire Renée Fong 1,autre,neutre,986,386,600,368,14,4,11,166.44418672502,-22.192372203396,etablissements_publics_nc,3,Construire autrement | Sans etiquette,2.99,1.12
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0017,Groupe scolaire Renée Fong 1,independantiste,independantiste,986,386,600,368,14,4,23,166.44418672502,-22.192372203396,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,6.25,2.33
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0017,Groupe scolaire Renée Fong 1,loyaliste,anti_independantiste,986,386,600,368,14,4,334,166.44418672502,-22.192372203396,etablissements_publics_nc,4,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,90.76,33.87
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0018,Groupe scolaire Renée Fong 2,autre,neutre,1171,293,878,277,13,3,10,166.44418672502,-22.192372203396,etablissements_publics_nc,3,Construire autrement | Sans etiquette,3.61,0.85
legislatives_2022,1,988,98805,Dumbéa,DUMBEA,0018,Groupe scolaire Renée Fong 2,independantiste,independantiste,1171,293,878,277,13,3,52,166.44418672502,-22.192372203396,etablissements_publics_nc,2,Mouvement neo-independantiste et souverainiste | Union caledonienne,18.77,4.44
