election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,bureau_nom,inscrits,votants,abstentions,exprimes,blancs,nuls,type_resultat,option,numero_liste,nuance,voix,pct_exprimes,pct_inscrits,longitude,latitude,geo_source,iris_codgeo,iris_libgeo,option_norm,bloc,camp_institutionnel,parti,libelle,source,notes
legislatives_2022,1,,,988,98814,Lifou,LIFOU,0003,Drueulu,758,232,526,232,0,0,candidat,Virginie RUFFENACH,,LR,0,0,0,167.07853761275717,-20.930242999544458,tribus_villages_nc,1401,Gaitcha,VIRGINIE RUFFENACH,loyaliste,anti_independantiste,R-LR,Rassemblement - LR,wikipedia_legislatives_2022,UDC
legislatives_2022,1,,,988,98814,Lifou,LIFOU,0008,Hnathalo,615,206,409,206,0,0,candidat,Guy-Olivier CUENOT,,RN,0,0,0,167.20569292168463,-20.72173372554335,tribus_villages_nc,1403,Wet,GUY OLIVIER CUENOT,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98814,Lifou,LIFOU,0028,Lieu de vote délocalisé n°2 de Lifou à Nouméa,130,42,88,42,0,0,candidat,Guy-Olivier CUENOT,,RN,2,4.76,1.54,166.456104572757,-22.2355536217178,arrete_manual_etablissements,1832,Zone industrielle Ducos,GUY OLIVIER CUENOT,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98815,Maré,MARE,0001,Tadine,602,104,498,102,2,0,candidat,Antoine GIL,,DVD,0,0,0,167.88122247564291,-21.54648900532693,tribus_villages_nc,1503,Tadine Pénélo,ANTOINE GIL,loyaliste,anti_independantiste,MCF,Mouvement des citoyens francais,wikipedia_legislatives_2022,DVD
legislatives_2022,1,,,988,98815,Maré,MARE,0002,Hnawayatche,646,103,543,103,0,0,candidat,Walisaune WAHETRA,,REG,82,79.61,12.69,167.85931527784155,-21.444202132872793,tribus_villages_nc,1501,Guahma,WALISAUNE WAHETRA,independantiste,independantiste,PALIKA,Palika,wikipedia_legislatives_2022,FLNKS
legislatives_2022,1,,,988,98815,Maré,MARE,0007,Wabao,644,144,500,144,0,0,candidat,Philippe DUNOYER,,ENS,10,6.94,1.55,167.93937201549338,-21.60210597985789,tribus_villages_nc,1503,Tadine Pénélo,PHILIPPE DUNOYER,centriste,anti_independantiste,CE,Caledonie ensemble,wikipedia_legislatives_2022,CE isole comme centriste
legislatives_2022,1,,,988,98815,Maré,MARE,0008,Nece,782,76,706,76,0,0,candidat,Antoine GIL,,DVD,0,0,0,167.8385405434138,-21.49048664280733,tribus_villages_nc,1501,Guahma,ANTOINE GIL,loyaliste,anti_independantiste,MCF,Mouvement des citoyens francais,wikipedia_legislatives_2022,DVD
legislatives_2022,1,,,988,98815,Maré,MARE,0009,Ménaku,264,51,213,51,0,0,candidat,Virginie RUFFENACH,,LR,3,5.88,1.14,167.96911686605617,-21.444234250592025,tribus_villages_nc,1501,Guahma,VIRGINIE RUFFENACH,loyaliste,anti_independantiste,R-LR,Rassemblement - LR,wikipedia_legislatives_2022,UDC
legislatives_2022,1,,,988,98815,Maré,MARE,0010,Mebuet,357,46,311,46,0,0,candidat,Jérémy SIMON,,DSV,0,0,0,167.84863195183632,-21.51331947619321,tribus_villages_nc,1501,Guahma,JEREMY SIMON,loyaliste,anti_independantiste,LP,Les Patriotes,wikipedia_legislatives_2022,DSV
legislatives_2022,1,,,988,98815,Maré,MARE,0011,Roh,298,22,276,22,0,0,candidat,Walisaune WAHETRA,,REG,12,54.55,4.03,167.86202487687797,-21.39242632802858,tribus_villages_nc,1501,Guahma,WALISAUNE WAHETRA,independantiste,independantiste,PALIKA,Palika,wikipedia_legislatives_2022,FLNKS
legislatives_2022,1,,,988,98815,Maré,MARE,0013,La Roche,660,106,554,105,1,0,candidat,Philippe DUNOYER,,ENS,3,2.86,0.45,168.03155085257677,-21.471745123256497,tribus_villages_nc,1502,La Roche,PHILIPPE DUNOYER,centriste,anti_independantiste,CE,Caledonie ensemble,wikipedia_legislatives_2022,CE isole comme centriste
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0001,Mairie de BOULARI,972,317,655,308,8,1,candidat,Thierry SANTA,,LR,106,34.42,10.91,166.523722376157,-22.2317078297453,etablissements_publics_nc,,,THIERRY SANTA,loyaliste,anti_independantiste,R-LR,Rassemblement - LR,wikipedia_legislatives_2022,UDC
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0001,Mairie de BOULARI,972,317,655,308,8,1,candidat,Alain DESCOMBELS,,RN,12,3.9,1.23,166.523722376157,-22.2317078297453,etablissements_publics_nc,,,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0003,École primaire Adolphe BOUTAN,950,407,543,399,7,1,candidat,Nicolas METZDORF,,ENS,174,43.61,18.32,166.841440737558,-22.4256696418669,etablissements_publics_nc,1715,Mouirange - Grand Sud - Ile Ouen,NICOLAS METZDORF,loyaliste,anti_independantiste,GNC,Generations NC,wikipedia_legislatives_2022,GNC dans Union loyaliste - Ensemble
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0003,École primaire Adolphe BOUTAN,950,407,543,399,7,1,candidat,Michèle HOMBOE,,DVC,17,4.26,1.79,166.841440737558,-22.4256696418669,etablissements_publics_nc,1715,Mouirange - Grand Sud - Ile Ouen,MICHELE HOMBOE,autre,neutre,CA,Construire autrement,wikipedia_legislatives_2022,DVC
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0004,École primaire Louis Henri GALINIE 1,968,336,632,324,10,2,candidat,Alain DESCOMBELS,,RN,24,7.41,2.48,166.512755378687,-22.2163077194956,etablissements_publics_nc,1705,Robinson Nord,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0005,École La Rizière 1,1094,251,843,247,2,2,candidat,Véronique PAGAND,,DSV,0,0,0,166.573975497183,-22.2332233282141,etablissements_publics_nc,1710,La Coulée Nord,VERONIQUE PAGAND,loyaliste,anti_independantiste,DLF,Debout la France,wikipedia_legislatives_2022,DSV
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0007,Ouara,103,47,56,46,0,1,candidat,Alain DESCOMBELS,,RN,1,2.17,0.97,166.84029773306233,-22.42316008394107,tribus_villages_nc,1715,Mouirange - Grand Sud - Ile Ouen,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0008,Groupe scolaire de Boulari 1,1039,418,621,408,6,4,candidat,Gérard REIGNIER,,REG,14,3.43,1.35,166.520855451452,-22.2274992832452,etablissements_publics_nc,1707,Boulari,GERARD REIGNIER,independantiste,independantiste,UC,Union caledonienne,wikipedia_legislatives_2022,FLNKS
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0020,Groupe scolaire de Plum,875,250,625,242,8,0,candidat,Thierry SANTA,,LR,91,37.6,10.4,166.489906860567,-22.2084828348965,etablissements_publics_nc,1702,Yahoué Sud,THIERRY SANTA,loyaliste,anti_independantiste,R-LR,Rassemblement - LR,wikipedia_legislatives_2022,UDC
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0021,École La Rizière 3,712,230,482,219,9,2,candidat,Joannes ITITIATY,,DIV,3,1.37,0.42,166.573975497183,-22.2332233282141,etablissements_publics_nc,1710,La Coulée Nord,JOANNES ITITIATY,autre,neutre,SE,Sans etiquette,wikipedia_legislatives_2022,DIV
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0023,École de la Briqueterie 2,842,315,527,305,7,3,candidat,Thierry SANTA,,LR,105,34.43,12.47,166.566445622614,-22.2625090934915,etablissements_publics_nc,1712,Vallon Dore,THIERRY SANTA,loyaliste,anti_independantiste,R-LR,Rassemblement - LR,wikipedia_legislatives_2022,UDC
legislatives_2022,1,,,988,98817,Mont-Dore,MONTDORE,0024,Mairie 2,683,239,444,229,8,2,candidat,Thierry SANTA,,LR,83,36.24,12.15,166.523259425452,-22.2297495527098,etablissements_publics_nc,1707,Boulari,THIERRY SANTA,loyaliste,anti_independantiste,R-LR,Rassemblement - LR,wikipedia_legislatives_2022,UDC
legislatives_2022,1,,,988,98818,Nouméa,NOUMEA,0012,École Ernest RISBEC 1,1354,554,800,541,9,4,candidat,Philippe DUNOYER,,ENS,250,46.21,18.46,166.451704940929,-22.2838445188063,etablissements_publics_nc,1808,Trianon,PHILIPPE DUNOYER,centriste,anti_independantiste,CE,Caledonie ensemble,wikipedia_legislatives_2022,CE isole comme centriste
legislatives_2022,1,,,988,98818,Nouméa,NOUMEA,0013,École Ernest RISBEC 2,1122,441,681,428,10,3,candidat,Pascal LAFLEUR,,DVD,40,9.35,3.57,166.451704940929,-22.2838445188063,etablissements_publics_nc,1808,Trianon,PASCAL LAFLEUR,loyaliste,anti_independantiste,SE,Sans etiquette droite,wikipedia_legislatives_2022,DVD
legislatives_2022,1,,,988,98818,Nouméa,NOUMEA,0019,École Emily PANNE 2,1261,446,815,433,11,2,candidat,Virginie RUFFENACH,,LR,84,19.4,6.66,166.454860512437,-22.2689261325801,etablissements_publics_nc,1820,Vallée des Colons Nord Est,VIRGINIE RUFFENACH,loyaliste,anti_independantiste,R-LR,Rassemblement - LR,wikipedia_legislatives_2022,UDC
legislatives_2022,1,,,988,98818,Nouméa,NOUMEA,0025,École Michel CACOT 1,1324,547,777,533,10,4,candidat,Joël KASARHEROU,,DVC,32,6,2.42,166.463652223431,-22.2662199324801,etablissements_publics_nc,1826,Portes de Fer - Sud,JOEL KASARHEROU,autre,neutre,CA,Construire autrement,wikipedia_legislatives_2022,DVC
legislatives_2022,1,,,988,98818,Nouméa,NOUMEA,0030,École Mathilde BROQUET 1,1381,409,972,394,12,3,candidat,Antoine GIL,,DVD,19,4.82,1.38,166.467549840387,-22.256293239868,etablissements_publics_nc,1827,Aérodrome Sud,ANTOINE GIL,loyaliste,anti_independantiste,MCF,Mouvement des citoyens francais,wikipedia_legislatives_2022,DVD
legislatives_2022,1,,,988,98818,Nouméa,NOUMEA,0033,École Robert BURCK,1133,294,839,278,15,1,candidat,Joël KASARHEROU,,DVC,4,1.44,0.35,166.463601949873,-22.2382604330193,etablissements_publics_nc,1833,Riviére Salée Sud,JOEL KASARHEROU,autre,neutre,CA,Construire autrement,wikipedia_legislatives_2022,DVC
legislatives_2022,1,,,988,98818,Nouméa,NOUMEA,0036,École Jacques TROUILLOT,955,301,654,291,6,4,candidat,Antoine GIL,,DVD,2,0.69,0.21,166.471000599479,-22.2283599819501,etablissements_publics_nc,1838,Riviére Salée Nord Est,ANTOINE GIL,loyaliste,anti_independantiste,MCF,Mouvement des citoyens francais,wikipedia_legislatives_2022,DVD
legislatives_2022,1,,,988,98818,Nouméa,NOUMEA,0042,École Gustave LODS 2,1363,355,1008,334,15,6,candidat,Antoine GIL,,DVD,4,1.2,0.29,166.435430928496,-22.2381371662114,etablissements_publics_nc,1843,Logicoop,ANTOINE GIL,loyaliste,anti_independantiste,MCF,Mouvement des citoyens francais,wikipedia_legislatives_2022,DVD
legislatives_2022,1,,,988,98818,Nouméa,NOUMEA,0044,École Louise VERGES,1166,161,1005,157,4,0,candidat,Joël KASARHEROU,,DVC,6,3.82,0.51,166.486016745804,-22.2343408388225,etablissements_publics_nc,1835,Tina,JOEL KASARHEROU,autre,neutre,CA,Construire autrement,wikipedia_legislatives_2022,DVC
legislatives_2022,1,,,988,98818,Nouméa,NOUMEA,0054,École le PETIT POUCET,1389,468,921,453,13,2,candidat,Guy-Olivier CUENOT,,RN,38,8.39,2.74,166.446452105063,-22.2638462676659,etablissements_publics_nc,1824,Vallée du Tir,GUY OLIVIER CUENOT,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98819,Ouégoa,OUEGOA,0003,Paimboas,389,78,311,77,1,0,candidat,Muneiko HAOCAS,,REG,6,7.79,1.54,164.52279333171543,-20.52170436626958,arrete_manual_tribus,1903,Bondé,MUNEIKO HAOCAS,independantiste,independantiste,MNIS,Mouvement neo-independantiste et souverainiste,wikipedia_legislatives_2022,REG
legislatives_2022,1,,,988,98820,Ouvéa,OUVEA,0005,Wénéki,851,158,693,157,1,0,candidat,Guy-Olivier CUENOT,,RN,1,0.64,0.12,166.61213110267843,-20.44626073917101,tribus_villages_nc,2001,Saint Joseph Gossanah Takedji,GUY OLIVIER CUENOT,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98821,Païta,PAITA,0003,Dock socio-culturel 3,905,298,607,291,4,3,candidat,Alain DESCOMBELS,,RN,20,6.87,2.21,166.366370328351,-22.1294955354086,etablissements_publics_nc,2101,Paita centre,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98821,Païta,PAITA,0004,Dock socio-culturel 4,757,259,498,254,5,0,candidat,Véronique PAGAND,,DSV,6,2.36,0.79,166.366370328351,-22.1294955354086,etablissements_publics_nc,2101,Paita centre,VERONIQUE PAGAND,loyaliste,anti_independantiste,DLF,Debout la France,wikipedia_legislatives_2022,DSV
legislatives_2022,1,,,988,98821,Païta,PAITA,0009,École élémentaire Scheffleras 1,881,202,679,199,2,1,candidat,Alain DESCOMBELS,,RN,8,4.02,0.91,166.36989887391,-22.1257398247667,etablissements_publics_nc,2102,Scheffleras,ALAIN DESCOMBELS,loyaliste,anti_independantiste,RN,Rassemblement national,wikipedia_legislatives_2022,RN
legislatives_2022,1,,,988,98821,Païta,PAITA,0014,École primaire Jean Ounou COTTIN 2,607,144,463,141,2,1,candidat,Gérard REIGNIER,,REG,92,65.25,15.16,166.265966445473,-22.0605318544913,etablissements_publics_nc,2106,Tamoa Bangou Saint Laurent,GERARD REIGNIER,independantiste,independantiste,UC,Union caledonienne,wikipedia_legislatives_2022,FLNKS
