election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
provinciales_2019,,PN,Province Nord,988,98807,Hienghène,HIENGHENE,0007,70,32,38,31,0,1,Oué-Hawa,OUE HAWA,0.875,Oué-Hava,Hienghène,LIEU_DIT_NC,TRIBU,Wé Hava,165.03458545186362,-20.765966185987494,tribus_villages_nc,156,704,Tiendanite Ouayaguette
provinciales_2019,,PN,Province Nord,988,98807,Hienghène,HIENGHENE,0008,97,81,16,81,0,0,Tiendanite,TIENDANITE,1,Tiendanite,Hienghène,LIEU_DIT_NC,TRIBU,Tândanit,164.8988687236624,-20.75818441571426,tribus_villages_nc,156,704,Tiendanite Ouayaguette
provinciales_2019,,PN,Province Nord,988,98807,Hienghène,HIENGHENE,0009,585,408,177,407,0,1,Ouaré,OUARE,1,Ouaré,Hienghène,LIEU_DIT_NC,TRIBU,Waré,164.93523458965643,-20.673024668353836,tribus_villages_nc,155,701,Hienghéne littoral
provinciales_2019,,PN,Province Nord,988,98807,Hienghène,HIENGHENE,0010,288,175,113,173,2,0,Léwarap,LEWARAP,1,Lewarap,Hienghène,LIEU_DIT_NC,TRIBU,Wérap,164.92837654735197,-20.722390044785012,tribus_villages_nc,155,701,Hienghéne littoral
provinciales_2019,,PN,Province Nord,988,98808,Houailou,HOUAILOU,0001,417,255,162,247,3,5,Mairie,MAIRIE,0.7,HOUAÏLOU,Houaïlou,LIEU_DIT_NC,VILLE,Waa wi Luu,165.6260919909217,-21.278284372962112,tribus_villages_nc,157,801,Houailou village
provinciales_2019,,PN,Province Nord,988,98808,Houailou,HOUAILOU,0002,659,399,260,368,22,9,Warai,WARAI,0.95,Kua,Houaïlou,LIEU_DIT_NC,TRIBU,Wa',165.76989808558005,-21.33124821435679,tribus_villages_nc,160,807,Boréaré - Coula - Karagreu
provinciales_2019,,PN,Province Nord,988,98808,Houailou,HOUAILOU,0003,370,245,125,242,1,2,Bâ,BA,1,Bâ,Houaïlou,LIEU_DIT_NC,TRIBU,Bwa,165.55842620966266,-21.19827944865936,tribus_villages_nc,158,803,Warai
provinciales_2019,,PN,Province Nord,988,98808,Houailou,HOUAILOU,0004,296,164,132,159,2,3,Nessakoéa,NESSAKOEA,0.842,Nessa Kouya,Houaïlou,LIEU_DIT_NC,TRIBU,Nérhexa i Kwéaa,165.5267547278778,-21.28421939373571,tribus_villages_nc,159,805,Nédivin - Bas Nindien
provinciales_2019,,PN,Province Nord,988,98808,Houailou,HOUAILOU,0005,522,267,255,256,6,5,Poro,PORO,1,Poro,Houaïlou,LIEU_DIT_NC,LDH,Pô Ro,165.70953015747588,-21.30262511634177,tribus_villages_nc,157,801,Houailou village
provinciales_2019,,PN,Province Nord,988,98808,Houailou,HOUAILOU,0006,488,269,219,265,4,0,Coula,COULA,1,Coula,Houaïlou,LIEU_DIT_NC,TRIBU,Kuru raa,165.44899405604838,-21.336853600338287,tribus_villages_nc,160,807,Boréaré - Coula - Karagreu
