commune_norm,election,tour,province_code,province,type_resultat,option,nuance,commune,voix,exprimes,inscrits,pct_exprimes,pct_inscrits,rang
YATE,legislatives_2024,1,,,candidat,Luther VOUDJO,REG,Yaté,25,1074,1833,2.33,1.36,3
YATE,legislatives_2024,1,,,candidat,Alcide PONGA,DVD,Yaté,21,1074,1833,1.96,1.15,4
YATE,legislatives_2024,1,,,candidat,Gérard POADJA,HOR,Yaté,14,1074,1833,1.3,0.76,5
YATE,legislatives_2024,2,,,candidat,Emmanuel TJIBAOU,REG,Yaté,1359,1401,1833,97,74.14,1
YATE,legislatives_2024,2,,,candidat,Alcide PONGA,DVD,Yaté,42,1401,1833,3,2.29,2
YATE,municipales_2020,1,,,liste,"YATE, SUR LE CHEMIN DE LA SOUVERAINETE",LNC,Yaté,421,1290,1763,32.64,23.88,1
YATE,municipales_2020,1,,,liste,EBUNUIRE NE YATRE ITEA,LNC,Yaté,355,1290,1763,27.52,20.14,2
YATE,municipales_2020,1,,,liste,UNIR POUR BATIR YATE,LNC,Yaté,283,1290,1763,21.94,16.05,3
YATE,municipales_2020,1,,,liste,UC-FLNKS,LNC,Yaté,153,1290,1763,11.86,8.68,4
YATE,municipales_2020,1,,,liste,BIEN VIVRE A YATE,LNC,Yaté,78,1290,1763,6.05,4.42,5
YATE,municipales_2026,1,,,liste,Louis Pidjot HOMOU YATE VERS UNE NATION SOUVERAINE,,Yaté,811,1357,1830,59.76,44.32,1
YATE,municipales_2026,1,,,liste,Sandrine AOURIGNA EP ATINOUA TREE YATRE VE TRAPE DRÜU YË KANAKY-NC,,Yaté,351,1357,1830,25.87,19.18,2
YATE,municipales_2026,1,,,liste,Marie Renee Vanessa TIHA EBUMUIRE ME YATRE ITEA,,Yaté,195,1357,1830,14.37,10.66,3
YATE,provinciales_2019,,PS,Province Sud,liste,PS_liste_07,,Yaté,994,1193,1704,83.32,58.33,1
YATE,provinciales_2019,,PS,Province Sud,liste,PS_liste_11,,Yaté,100,1193,1704,8.38,5.87,2
YATE,provinciales_2019,,PS,Province Sud,liste,PS_liste_01,,Yaté,29,1193,1704,2.43,1.7,3
YATE,provinciales_2019,,PS,Province Sud,liste,PS_liste_03,,Yaté,26,1193,1704,2.18,1.53,4
YATE,provinciales_2019,,PS,Province Sud,liste,PS_liste_04,,Yaté,18,1193,1704,1.51,1.06,5
YATE,referendum_2018,,,,choix,oui,,YATE,1357,1538,1721,88.23,78.85,1
YATE,referendum_2018,,,,choix,non,,YATE,181,1538,1721,11.77,10.52,2
YATE,referendum_2020,,,Province Sud,choix,oui,,Yaté,1469,1615,1760,90.96,83.47,1
YATE,referendum_2020,,,Province Sud,choix,non,,Yaté,146,1615,1760,9.04,8.3,2
YATE,referendum_2021,,,Province Sud,choix,non,,Yaté,76,96,1778,79.17,4.27,1
YATE,referendum_2021,,,Province Sud,choix,oui,,Yaté,20,96,1778,20.83,1.12,2
