election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,numero_panneau,nuance,nom,prenom,sexe,candidat,candidature,voix,pct_inscrits,pct_exprimes,elu,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
municipales_2026,1,,,988,98804,Canala,CANALA,0003,464,314,150,310,1,3,3,LREG,,,,,Gilbert TYUIENON TEPE AEE CE KANAKY DAAWANI,132,28.45,42.58,,Nanon,NANON,0.95,Nanon-Kénérou,Canala,LIEU_DIT_NC,TRIBU,Nèno - Kénéru,165.88480729759476,-21.546697208816735,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0003,464,314,150,310,1,3,4,LREG,,,,,Raymond - Freddy TYUIENON UNI XARACUU ARE,78,16.81,25.16,,Nanon,NANON,0.95,Nanon-Kénérou,Canala,LIEU_DIT_NC,TRIBU,Nèno - Kénéru,165.88480729759476,-21.546697208816735,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0004,819,605,214,599,3,3,1,LDIV,,,,,Jean Michel MAYET MURU XORU,136,16.61,22.7,,Méhoué,MEHOUE,1,Méhoué,Canala,LIEU_DIT_NC,TRIBU,Mèèwéé,165.9494172177474,-21.51958486452521,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0004,819,605,214,599,3,3,2,LREG,,,,,Caril BERONON XWAMAABWI ADOPOO,108,13.19,18.03,,Méhoué,MEHOUE,1,Méhoué,Canala,LIEU_DIT_NC,TRIBU,Mèèwéé,165.9494172177474,-21.51958486452521,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0004,819,605,214,599,3,3,3,LREG,,,,,Gilbert TYUIENON TEPE AEE CE KANAKY DAAWANI,276,33.7,46.08,,Méhoué,MEHOUE,1,Méhoué,Canala,LIEU_DIT_NC,TRIBU,Mèèwéé,165.9494172177474,-21.51958486452521,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0004,819,605,214,599,3,3,4,LREG,,,,,Raymond - Freddy TYUIENON UNI XARACUU ARE,79,9.65,13.19,,Méhoué,MEHOUE,1,Méhoué,Canala,LIEU_DIT_NC,TRIBU,Mèèwéé,165.9494172177474,-21.51958486452521,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0005,755,563,192,555,3,5,1,LDIV,,,,,Jean Michel MAYET MURU XORU,125,16.56,22.52,,Gélima,GELIMA,1,Gélima,Canala,LIEU_DIT_NC,TRIBU,Jari Mwâ,165.98151543430086,-21.534392845846163,tribus_villages_nc,137,403,Gélima - Nakéty
municipales_2026,1,,,988,98804,Canala,CANALA,0005,755,563,192,555,3,5,2,LREG,,,,,Caril BERONON XWAMAABWI ADOPOO,156,20.66,28.11,,Gélima,GELIMA,1,Gélima,Canala,LIEU_DIT_NC,TRIBU,Jari Mwâ,165.98151543430086,-21.534392845846163,tribus_villages_nc,137,403,Gélima - Nakéty
municipales_2026,1,,,988,98804,Canala,CANALA,0005,755,563,192,555,3,5,3,LREG,,,,,Gilbert TYUIENON TEPE AEE CE KANAKY DAAWANI,221,29.27,39.82,,Gélima,GELIMA,1,Gélima,Canala,LIEU_DIT_NC,TRIBU,Jari Mwâ,165.98151543430086,-21.534392845846163,tribus_villages_nc,137,403,Gélima - Nakéty
municipales_2026,1,,,988,98804,Canala,CANALA,0005,755,563,192,555,3,5,4,LREG,,,,,Raymond - Freddy TYUIENON UNI XARACUU ARE,53,7.02,9.55,,Gélima,GELIMA,1,Gélima,Canala,LIEU_DIT_NC,TRIBU,Jari Mwâ,165.98151543430086,-21.534392845846163,tribus_villages_nc,137,403,Gélima - Nakéty
municipales_2026,1,,,988,98804,Canala,CANALA,0006,317,210,107,210,0,0,1,LDIV,,,,,Jean Michel MAYET MURU XORU,41,12.93,19.52,,Mérénémé,MERENEME,1,Mérénémé,Canala,LIEU_DIT_NC,TRIBU,,165.92818615112122,-21.514857403632252,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0006,317,210,107,210,0,0,2,LREG,,,,,Caril BERONON XWAMAABWI ADOPOO,66,20.82,31.43,,Mérénémé,MERENEME,1,Mérénémé,Canala,LIEU_DIT_NC,TRIBU,,165.92818615112122,-21.514857403632252,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0006,317,210,107,210,0,0,3,LREG,,,,,Gilbert TYUIENON TEPE AEE CE KANAKY DAAWANI,93,29.34,44.29,,Mérénémé,MERENEME,1,Mérénémé,Canala,LIEU_DIT_NC,TRIBU,,165.92818615112122,-21.514857403632252,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0006,317,210,107,210,0,0,4,LREG,,,,,Raymond - Freddy TYUIENON UNI XARACUU ARE,10,3.15,4.76,,Mérénémé,MERENEME,1,Mérénémé,Canala,LIEU_DIT_NC,TRIBU,,165.92818615112122,-21.514857403632252,tribus_villages_nc,136,401,Canala village
municipales_2026,1,,,988,98804,Canala,CANALA,0007,346,248,98,241,3,4,1,LDIV,,,,,Jean Michel MAYET MURU XORU,35,10.12,14.52,,Tenda Koumendi,TENDA KOUMENDI,1,Tenda,Canala,LIEU_DIT_NC,TRIBU,Tèda Nèxinyi,166.03563428874068,-21.545648677139223,tribus_villages_nc,137,403,Gélima - Nakéty
municipales_2026,1,,,988,98804,Canala,CANALA,0007,346,248,98,241,3,4,2,LREG,,,,,Caril BERONON XWAMAABWI ADOPOO,71,20.52,29.46,,Tenda Koumendi,TENDA KOUMENDI,1,Tenda,Canala,LIEU_DIT_NC,TRIBU,Tèda Nèxinyi,166.03563428874068,-21.545648677139223,tribus_villages_nc,137,403,Gélima - Nakéty
municipales_2026,1,,,988,98804,Canala,CANALA,0007,346,248,98,241,3,4,3,LREG,,,,,Gilbert TYUIENON TEPE AEE CE KANAKY DAAWANI,91,26.3,37.76,,Tenda Koumendi,TENDA KOUMENDI,1,Tenda,Canala,LIEU_DIT_NC,TRIBU,Tèda Nèxinyi,166.03563428874068,-21.545648677139223,tribus_villages_nc,137,403,Gélima - Nakéty
