election,tour,commune_norm,commune,bloc,camp_institutionnel,nb_bureaux,nb_bureaux_geolocalises,inscrits,votants,abstentions,exprimes,voix_bloc,options,pct_exprimes,pct_inscrits
legislatives_2022,1,POINDIMIE,Poindimié,independantiste,independantiste,7,7,4373,1279,3094,1262,933,Mouvement neo-independantiste et souverainiste | Union caledonienne,73.93,21.34
legislatives_2022,1,POINDIMIE,Poindimié,loyaliste,anti_independantiste,7,7,4373,1279,3094,1262,284,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,22.5,6.49
legislatives_2022,1,PONERIHOUEN,Ponérihouen,autre,neutre,7,7,2689,1148,1541,1133,16,Construire autrement | Sans etiquette,1.41,0.6
legislatives_2022,1,PONERIHOUEN,Ponérihouen,independantiste,independantiste,7,7,2689,1148,1541,1133,1018,Mouvement neo-independantiste et souverainiste | Union caledonienne,89.85,37.86
legislatives_2022,1,PONERIHOUEN,Ponérihouen,loyaliste,anti_independantiste,7,7,2689,1148,1541,1133,99,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,8.74,3.68
legislatives_2022,1,POUEBO,Pouébo,autre,neutre,5,5,2405,585,1820,582,6,Construire autrement | Sans etiquette,1.03,0.25
legislatives_2022,1,POUEBO,Pouébo,independantiste,independantiste,5,5,2405,585,1820,582,563,Mouvement neo-independantiste et souverainiste | Union caledonienne,96.74,23.41
legislatives_2022,1,POUEBO,Pouébo,loyaliste,anti_independantiste,5,5,2405,585,1820,582,13,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,2.23,0.54
legislatives_2022,1,POUEMBOUT,Pouembout,autre,neutre,3,3,1821,626,1195,613,25,Construire autrement | Sans etiquette,4.08,1.37
legislatives_2022,1,POUEMBOUT,Pouembout,independantiste,independantiste,3,3,1821,626,1195,613,176,Mouvement neo-independantiste et souverainiste | Union caledonienne,28.71,9.67
legislatives_2022,1,POUEMBOUT,Pouembout,loyaliste,anti_independantiste,3,3,1821,626,1195,613,412,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,67.21,22.62
legislatives_2022,1,POUM,Poum,autre,neutre,3,3,1492,415,1077,411,4,Construire autrement | Sans etiquette,0.97,0.27
legislatives_2022,1,POUM,Poum,independantiste,independantiste,3,3,1492,415,1077,411,355,Mouvement neo-independantiste et souverainiste | Union caledonienne,86.37,23.79
legislatives_2022,1,POUM,Poum,loyaliste,anti_independantiste,3,3,1492,415,1077,411,52,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,12.65,3.49
legislatives_2022,1,POYA,Poya,autre,neutre,6,6,2547,1097,1450,1075,24,Construire autrement | Sans etiquette,2.23,0.94
legislatives_2022,1,POYA,Poya,independantiste,independantiste,6,6,2547,1097,1450,1075,583,Mouvement neo-independantiste et souverainiste | Union caledonienne,54.23,22.89
legislatives_2022,1,POYA,Poya,loyaliste,anti_independantiste,6,6,2547,1097,1450,1075,468,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,43.53,18.37
legislatives_2022,1,SARRAMEA,Sarraméa,autre,neutre,1,1,528,176,352,168,4,Construire autrement | Sans etiquette,2.38,0.76
legislatives_2022,1,SARRAMEA,Sarraméa,independantiste,independantiste,1,1,528,176,352,168,121,Mouvement neo-independantiste et souverainiste | Union caledonienne,72.02,22.92
legislatives_2022,1,SARRAMEA,Sarraméa,loyaliste,anti_independantiste,1,1,528,176,352,168,43,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,25.6,8.14
legislatives_2022,1,THIO,Thio,autre,neutre,4,4,2231,557,1674,552,13,Construire autrement | Sans etiquette,2.36,0.58
legislatives_2022,1,THIO,Thio,independantiste,independantiste,4,4,2231,557,1674,552,463,Mouvement neo-independantiste et souverainiste | Union caledonienne,83.88,20.75
legislatives_2022,1,THIO,Thio,loyaliste,anti_independantiste,4,4,2231,557,1674,552,76,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,13.77,3.41
legislatives_2022,1,TOUHO,Touho,autre,neutre,4,4,2008,654,1354,646,17,Construire autrement | Sans etiquette,2.63,0.85
legislatives_2022,1,TOUHO,Touho,independantiste,independantiste,4,4,2008,654,1354,646,523,Mouvement neo-independantiste et souverainiste | Union caledonienne,80.96,26.05
legislatives_2022,1,TOUHO,Touho,loyaliste,anti_independantiste,4,4,2008,654,1354,646,106,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,16.41,5.28
legislatives_2022,1,VOH,Voh,autre,neutre,7,7,2456,795,1661,781,15,Construire autrement | Sans etiquette,1.92,0.61
legislatives_2022,1,VOH,Voh,independantiste,independantiste,7,7,2456,795,1661,781,516,Mouvement neo-independantiste et souverainiste | Union caledonienne,66.07,21.01
legislatives_2022,1,VOH,Voh,loyaliste,anti_independantiste,7,7,2456,795,1661,781,250,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,32.01,10.18
legislatives_2022,1,YATE,Yaté,autre,neutre,4,4,1802,622,1180,621,10,Construire autrement | Sans etiquette,1.61,0.55
legislatives_2022,1,YATE,Yaté,independantiste,independantiste,4,4,1802,622,1180,621,568,Mouvement neo-independantiste et souverainiste | Union caledonienne,91.47,31.52
legislatives_2022,1,YATE,Yaté,loyaliste,anti_independantiste,4,4,1802,622,1180,621,43,Debout la France | Generations NC | Rassemblement - LR | Rassemblement national,6.92,2.39
legislatives_2022,2,BELEP,Belep,independantiste,independantiste,1,1,934,446,488,446,444,Union caledonienne,99.55,47.54
legislatives_2022,2,BELEP,Belep,loyaliste,anti_independantiste,1,1,934,446,488,446,2,Generations NC,0.45,0.21
legislatives_2022,2,BOULOUPARI,Boulouparis,independantiste,independantiste,4,4,3275,1821,1454,1770,394,Union caledonienne,22.26,12.03
legislatives_2022,2,BOULOUPARI,Boulouparis,loyaliste,anti_independantiste,4,4,3275,1821,1454,1770,1376,Generations NC,77.74,42.02
