"scenario_id","scenario","source_id","source_nom","route_id","seg_guid","seg_type","seg_fonction","snap_m","along_from_deb_m","route_length_m","access_deb_m","access_fin_m"
"bureaux_complets","Bureaux de vote habituels","BV0055","Ecole Serge LAIGLE",3148,"{1C13178F-679F-4A98-B1D4-05D04D2E5A08}","VCU","VL",53.0715316584723,92.8079107300792,193.566752522146,145.879442388551,153.830373450539
"bureaux_complets","Bureaux de vote habituels","BV0056","Ecole Guy CHAMPMOREAU",3419,"{A24EC363-83AD-4016-BCE3-97110447DB4D}","VCU","NC",31.4185958851052,58.4883401925458,180.439796081041,89.9069360776509,153.370051773601
"bureaux_complets","Bureaux de vote habituels","BV0057","Ecole MAIRIE 3 - Bureau Dérogatoire",4607,"{42C17695-3133-40BD-BAB6-DBBE8EE59763}","VCU","NC",32.5806563922956,48.4267463257013,98.2904385718155,81.0074027179969,82.4443486384099
"centres_8","8 centres regroupés","R01","Hôtel de Ville de Nouméa",4607,"{42C17695-3133-40BD-BAB6-DBBE8EE59763}","VCU","NC",35.2281083421865,51.5719853014964,98.2904385718155,86.8000936436829,81.9465616125057
"centres_8","8 centres regroupés","R02","Salle omnisports W.K. Wawanabu de l'Anse-Vata",6918,"{30FBEE34-F541-4444-BE60-22C95CC94520}","VCU","NC",28.8839976585503,33.3415581388761,98.1929154394506,62.2255557974264,93.7353549591248
"centres_8","8 centres regroupés","R03","Salle Jean-Noyant",1126,"{41E677FA-43FA-4458-B675-43FDC87767DB}","SP","NC",24.6453750298323,375.88561114128,474.416319601049,400.530986171113,123.176083489601
"centres_8","8 centres regroupés","R04","Collège Jean-Leques",4281,"{665874B3-E488-4210-BD4B-CC5FA8C2FAEE}","VCU","NC",21.4810154309012,29.9244860713497,134.614066993376,51.4055015022509,126.170596352927
"centres_8","8 centres regroupés","R05","École Céline-Teyssandier-de-Laubarede",1118,"{73489C5C-4DBB-49FA-B508-A66004553970}","SP","NC",84.1337076853494,0,94.9849726111659,84.1337076853494,179.118680296515
"centres_8","8 centres regroupés","R06","Collège François-Ollivaud",821,"{D4FBD817-2263-4622-8994-E0C4830F4CF5}","SP","NC",34.1928397081438,16.5810840523672,70.032253150029,50.773923760511,87.6440088058055
"centres_8","8 centres regroupés","R07","Groupe scolaire Marie-Courtot / Henriette-Gervolino",3469,"{85356872-E1D4-4B18-B79D-7CE2FFC08DAA}","VCU","VP",74.8440772820301,35.6196424004967,36.6363445333024,110.463719682527,75.8607794148358
"centres_8","8 centres regroupés","R08","Centre culturel Ko We Kara",9536,"{6DE5DAF7-2147-4FEE-8FE3-174D4D146690}","VCU","NC",32.1424153610134,58.1924332047823,146.921368630176,90.3348485657957,120.871350786407
"centres_9","9 centres regroupés","R01","Hôtel de Ville de Nouméa",4607,"{42C17695-3133-40BD-BAB6-DBBE8EE59763}","VCU","NC",35.2281083421865,51.5719853014964,98.2904385718155,86.8000936436829,81.9465616125057
"centres_9","9 centres regroupés","R02","Salle omnisports W.K. Wawanabu de l'Anse-Vata",6918,"{30FBEE34-F541-4444-BE60-22C95CC94520}","VCU","NC",28.8839976585503,33.3415581388761,98.1929154394506,62.2255557974264,93.7353549591248
"centres_9","9 centres regroupés","R03","Salle Jean-Noyant",1126,"{41E677FA-43FA-4458-B675-43FDC87767DB}","SP","NC",24.6453750298323,375.88561114128,474.416319601049,400.530986171113,123.176083489601
"centres_9","9 centres regroupés","R04","Collège Jean-Leques",4281,"{665874B3-E488-4210-BD4B-CC5FA8C2FAEE}","VCU","NC",21.4810154309012,29.9244860713497,134.614066993376,51.4055015022509,126.170596352927
"centres_9","9 centres regroupés","R05","École Céline-Teyssandier-de-Laubarede",1118,"{73489C5C-4DBB-49FA-B508-A66004553970}","SP","NC",84.1337076853494,0,94.9849726111659,84.1337076853494,179.118680296515
"centres_9","9 centres regroupés","R06","Collège François-Ollivaud",821,"{D4FBD817-2263-4622-8994-E0C4830F4CF5}","SP","NC",34.1928397081438,16.5810840523672,70.032253150029,50.773923760511,87.6440088058055
"centres_9","9 centres regroupés","R07","Groupe scolaire Marie-Courtot / Henriette-Gervolino",3469,"{85356872-E1D4-4B18-B79D-7CE2FFC08DAA}","VCU","VP",74.8440772820301,35.6196424004967,36.6363445333024,110.463719682527,75.8607794148358
"centres_9","9 centres regroupés","R09","Collège de Kaméré",5582,"{5B8C6C6E-B625-4959-9CAD-7184D55A98BA}","VCU","NC",60.2226535082746,20.1100388805988,20.1100388805988,80.3326923888734,60.2226535082746
"centres_9","9 centres regroupés","R10","Salle de boxe municipale Vincent Kafoa",10192,"{2F78B58F-D6B4-4D46-82B5-861188649366}","VCU","NC",23.1512846036075,35.5669211478234,62.488155091318,58.7182057514309,50.0725185471021
