province;commune;num_bv;bv;inscrits;votants;abstention;nuls;blancs;exprimes;oui;non
Province Sud;Païta;9;École élémentaire Scheffleras 1;713;589;124;6;9;574;209;365
Province Sud;Païta;13;École primaire Jean Ounou COTTIN 1;606;542;64;3;6;533;163;370
Province Sud;Païta;18;Ecole James Paddon 2;591;531;60;4;6;521;139;382
Province Nord;Poindimié;3;Bayes;564;520;44;0;1;519;469;50
Province Nord;Ponérihouen;1;Mairie;491;425;66;6;5;414;286;128
Province Nord;Ponérihouen;3;Tchamba;320;286;34;3;0;283;250;33
Province Nord;Pouébo;1;Mairie;754;644;110;4;1;639;610;29
Province Nord;Pouébo;2;Saint Denis Ballade;560;472;88;0;0;472;433;39
Province Sud;Sarraméa;1;Mairie;510;477;33;3;2;472;373;99
Province Sud;Thio;4;Saint-Pierre;467;414;53;3;0;411;392;19
Province Nord;Touho;3;Kokingone;304;260;44;3;1;256;251;5
Province Nord;Voh;2;Témala;288;261;27;5;3;253;101;152
Province Nord;Voh;3;Ouengo;51;48;3;0;0;48;45;3
Province Nord;Voh;4;Local socio-éducatif de Tieta;276;248;28;0;2;246;242;4
Province Nord;Voh;5;Local socio-éducatif de Oundjo;346;299;47;1;0;298;289;9
Province Nord;Voh;6;Local socio-éducatif de Boyen;186;167;19;8;2;157;138;19
Province Sud;Boulouparis;1;Mairie;861;791;70;6;3;782;221;561
Province Sud;Boulouparis;3;Mairie (Maison des associations);768;712;56;4;5;703;321;382
Province Sud;Bourail;1;Mairie;623;565;58;3;4;558;136;422
Province Sud;Bourail;3;Colisée;872;811;61;7;3;801;144;657
Province Sud;Bourail;5;École Louise Michel;887;806;81;8;5;793;170;623
Province Nord;Canala;1;Mairie;400;360;40;3;2;355;326;29
Province Nord;Canala;3;Nanon;462;426;36;2;3;421;397;24
Province Nord;Canala;4;Méhoué;784;712;72;4;1;707;663;44
Province Sud;Dumbéa;5;Ecole primaire Mainguet 2;716;594;122;4;6;584;257;327
Province Sud;Dumbéa;11;Ecole primaire Gustave Clain 1;771;657;114;2;5;650;203;447
Province Sud;Dumbéa;18;Groupe scolaire Renée Fong 2;808;703;105;2;6;695;306;389
Province Sud;Dumbéa;20;Mairie du Nord 2;581;532;49;1;2;529;61;468
Province Sud;Dumbéa;23;Ecole primaire Paul Duboisé 2;777;673;104;6;7;660;164;496
Province Sud;Farino;1;Mairie;577;547;30;5;1;541;62;479
Province Nord;Hienghène;2;Tendo;223;200;23;0;0;200;191;9
Province Nord;Hienghène;4;Haut-Coulna;106;93;13;2;0;91;87;4
Province Nord;Hienghène;9;Ouaré;600;579;21;6;0;573;565;8
Province Nord;Houaïlou;5;Poro;541;459;82;5;1;453;359;94
Province Nord;Houaïlou;7;Néaoua;341;299;42;0;0;299;291;8
Province Nord;Kaala-Gomen;4;Maison Gamaï;191;169;22;2;0;167;150;17
Province Nord;Koné;2;Poindah;163;145;18;2;2;141;123;18
Province Nord;Koné;6;Bopope;226;194;32;1;0;193;172;21
Province Nord;Koné;8;Baco;428;395;33;6;1;388;354;34
Province Nord;Koné;10;Noëlly;220;206;14;2;1;203;196;7
Province Nord;Kouaoua;1;Mairie;572;513;59;2;1;510;356;154
Province Nord;Kouaoua;2;Maison commune de Ouérou-Pimet;274;239;35;2;0;237;214;23
Province Nord;Kouaoua;3;Koh;149;143;6;0;1;142;131;11
Province Nord;Koumac;1;Mairie 1 et centralisateur;1194;1090;104;8;4;1078;531;547
Province Sud;La Foa;1;Centre socio-culturel;872;808;64;7;3;798;210;588
Province Sud;La Foa;2;Centre socio-culturel;722;673;49;4;3;666;295;371
Province des Iles;Lifou;1;Faré des îles;516;371;145;0;1;370;282;88
Province des Iles;Lifou;14;Hapetra;305;236;69;0;1;235;207;28
Province des Iles;Lifou;15;Nang;305;209;96;0;0;209;186;23
Province des Iles;Lifou;16;Xodre;136;84;52;0;0;84;62;22
Province des Iles;Lifou;18;Wedrumel;275;186;89;0;0;186;155;31
Province des Iles;Lifou;25;Hnassé;188;137;51;0;1;136;113;23
Province des Iles;Lifou;26;Kirinata;128;92;36;0;0;92;83;9
Province des Iles;Maré;1;Tadine;421;320;101;5;0;315;266;49
Province des Iles;Maré;8;Nece;560;346;214;3;0;343;177;166
Province des Iles;Maré;10;Mebuet;265;156;109;2;1;153;89;64
Province des Iles;Maré;12;Eni;285;201;84;0;0;201;179;22
Province des Iles;Maré;14;Tuho;324;221;103;1;1;219;140;79
Province Sud;Mont-Dore;1;Mairie de BOULARI;731;615;116;2;3;610;180;430
