PopGIS3 - Nouvelle Calédonie; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : iris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - agriculteurs-pêcheurs;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - d'artisans-commerçants;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - cadres;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - professions intermédiaires;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - employés;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - ouvriers;% employés et ouvriers;% salariés du privé;% salariés du public;% CDD (Contrat à Durée Déterminée);% CDI (Contrat à Durée Indéterminée);% actifs à temps complet;% actifs à temps partiel;% travail en continu;% travail saisonnier;% mode principal de transport = marche à pied;% mode principal de transport = voiture;% mode principal de transport = transport en commun;% ménages sans véhicules;% propriétaires;% locataires;% locataires gratuit;% locataires social;% locataires privés;% logements < 40 m²;% logements < 80 m²;% logements < 120 m²;% logements > 160 m²;% ménages raccordés au réseau d'électricité;% ménages non raccordés au réseau d'électricité;% de ménages avec point d'eau courante individuelle;% ménages réfrigérateur;% ménages machine à laver;% ménages accès à internet;Taux de navetteurs sortant;Taux d'activité (15-64 ans);Taux d'emploi;Taux de chômage;% travailleurs indépendants;% pers. ne résidant pas en Nouvelle Calédonie en 2014;% pers. résidant dans une autre commune en 2014;% pers. résidant dans la même commune en 2014;% pers. seules;% couples sans enfant(s);% couples avec enfant(s);% familles monoparentales;% ménages complexes
2501;Pouembout village;41;95;163;327;230;250;43.4;51.5;30.9;17.5;65;90.1;9.9;93.7;6.3;14.7;82.7;5.6;14.4;50.7;44;5.3;16.2;27.8;11.5;31.7;39.9;16.9;95.9;4.1;99.3;97.6;95.3;75.8;0.6;75.6;67.9;10.2;17.5;9.4;32.9;57.7;22.7;20.8;36.4;10.4;9.7
2503;Pinda - Ouaté - Kopéto;23;16;8;27;36;69;58.7;62;14.5;25.1;51.4;75.4;24.6;83.2;16.8;22.8;75.5;4;28.8;89;3.4;7.5;0;3.4;24.7;47.3;17.8;10.3;82.9;17.1;91.1;87;75.3;30.1;0.4;67.1;54.1;19.4;23.5;0.2;12.4;87.4;27.4;9.6;26.7;9.6;26.7
2601;Poum du village - Poingam;67;14;7;35;81;82;57;50.7;17.5;26.6;41.6;60.8;39.2;57.3;42.7;60;35.2;7.3;50;81.3;2.3;16.4;0;2.3;50.8;26;15.6;7.6;77.1;22.9;64.9;64.1;46.9;22.1;0.1;65.1;48;26.3;31.8;2;8.1;89.8;23.3;14.5;34.7;6.5;21
2603;Bouarou - Pangai - Narai;88;14;5;16;24;89;47.9;45.3;7.6;20.8;32.2;57.6;42.4;60.2;39.8;42.9;58.3;3.5;34.6;85.4;2.4;12.2;0;2.4;26.8;26.3;28.3;18.5;82;18;70.2;75.6;51.7;13.2;0.3;71.2;61.1;14.2;47;0.8;11;88.3;33.2;15.1;26.3;6.3;19
2701;Poya villageé Népoui;9;34;32;121;150;285;68.9;72.1;16;18.5;69.6;87.2;12.8;85.7;14.3;20.8;75.9;5;22.4;68.9;16.7;14.4;2.3;14.4;8.7;14.2;49.5;27.7;92.6;7.4;94.7;94.3;86.3;56.7;0.3;70.6;59.6;15.6;11.9;2.9;12.3;84.8;17.5;14.4;35.5;8.5;24.1
2705;Gohapin - Montfaoué - Néklia - Kradji;16;15;2;22;63;149;79.4;76.4;12.7;40.4;48.7;69.7;30.3;72.7;27.3;47.7;52.6;2.2;47.4;96.4;0.6;2.9;0;0.6;49;8.8;35.7;6.5;78.9;21.1;96.4;77.3;59.7;6.2;0.2;70.5;38.3;45.7;10.9;0.1;3.9;96;27.9;7.5;29.5;10.1;25
2706;Poya Sud;12;8;4;28;15;30;46.4;54.6;11.3;9.3;56.7;94.8;5.2;99;1;1.6;95.6;3.8;6.7;83.3;10;6.7;0;10;6.7;20;42.2;31.1;80;20;70;94.4;86.7;61.1;0.3;74.5;68.8;7.6;34;0.5;19.6;79.9;22.2;36.7;30;4.4;6.7
2801;Sarraméa;5;18;2;24;70;90;76.6;69.9;14.8;30.1;54.5;84.7;15.3;83.3;16.7;26.5;73.7;3;26.5;89.3;5.6;5.1;0;5.6;32.7;31.6;16.8;18.9;93.4;6.6;96.9;89.3;71.4;31.1;0.6;71.9;56.9;20.8;15.3;0.9;12.9;86.1;22.4;23;27;8.2;19.4
2901;Thio village;22;24;22;89;192;277;74.9;66.6;22.5;27;62.1;79.1;20.9;83.7;16.3;33.4;66.3;5.2;37.2;72.6;13;14.5;2.1;10.9;50;15.4;24.6;10;89.7;10.3;93.4;85.7;73.7;23.3;0.1;71.5;54.4;23.8;10.9;1;8.1;90.9;19.2;9.6;37.8;12.4;21.1
2902;Ouindo Borendy;46;15;1;16;68;118;70.5;59.5;18.6;37.5;40.5;70.5;29.5;79.2;20.8;44.1;55.2;4.9;61.5;96.4;1.8;1.8;0.7;1.1;90.3;5.8;2.2;1.8;80.9;19.1;92.1;76.3;54.7;5.4;0.1;70.5;49;30.5;22;0.1;7.2;92.7;32.7;11.5;29.5;8.6;17.6
3001;Touho village;24;38;26;97;77;96;48.3;39.7;38.8;28.2;50.3;79.3;20.7;84.4;15.6;29.1;57.6;15.1;35.1;78.2;14.2;7.7;5.6;8.6;16.5;36.9;39.8;6.8;94.1;5.9;100;90.6;74.9;68.7;0.3;60.4;44;27.2;21.5;5.5;10.8;83.8;24.5;10.3;34.2;10;20.9
3003;Tiouandé - Ouanache - Congouma - Paola;26;11;3;9;39;43;62.6;50.4;18.3;22.1;46.6;59.5;40.5;62.6;37.4;59.6;28.3;14.1;56.8;99;1;0;0;1;76.9;17.1;5;1;88.9;11.1;99.5;80.4;57.3;43.2;0.4;56.7;29.8;47.4;31.3;0;6.5;93.5;27.6;7.5;32.2;8;24.6
3004;Koe - Kokingone - Tiwaka - Pombéi;41;2;1;20;32;119;70.2;66;13;56.7;22.3;75.3;24.7;76.7;23.3;55.3;40.6;6.3;55.9;97.8;0.5;1.6;0;0.5;83.3;12.9;3.2;0.5;84.4;15.6;97.8;78.5;54.8;43.5;0.2;73.5;53.8;26.9;20.9;0.9;4.3;94.8;27.4;9.1;27.4;9.1;26.9
301;Bourail village;29;72;31;147;249;174;60.3;52;29.5;20.2;61.3;88;12;95.4;4.6;27;71.3;3.2;27.6;57.2;36;6.7;12.5;23.5;11.2;29.8;42.9;16.1;99;1;99.8;97.2;92.3;54.4;0.1;62.9;57.3;8.9;18.5;3.2;13.3;83.4;22.7;24.3;30.6;9.2;13.2
302;Poé Nessadiou;32;102;49;155;124;87;38.4;42.3;30.1;17.5;54.8;87.8;12.2;94.7;5.3;13.8;85.8;2.5;19.9;74.6;16.9;8.5;0;16.9;17.2;23.3;36.9;22.7;96.2;3.8;98.1;96.6;91.3;72.9;0.1;75;70.8;5.5;27.7;8.4;12.8;78.8;27.5;26.9;26.7;8.1;10.8
304;Nandaï Boghen Déva;53;101;39;136;335;153;59.7;42.5;38.6;33.8;47.2;91.3;8.7;92;8;12.3;87.3;2.9;17.3;76.5;14.3;9.3;0;14.3;8;25.7;45.1;21.2;90.7;9.3;94.1;94.7;92.3;54.4;0.1;75.3;68.8;8.6;19;10.5;11.4;78.1;20.7;22.3;35.5;9.1;12.5
305;Ny;24;13;1;24;96;102;76.2;68.1;18.1;36.9;49.2;80;20;80.4;19.6;38.4;51.7;11.8;41.9;98.9;0;1.1;0;0;27.3;52.1;13.9;6.7;89.9;10.1;98.5;85.8;67.8;12.7;0.1;69.3;45.1;34.8;13.8;0.1;5;94.9;25.8;10.9;30.3;5.2;27.7
3101;Voh village - Gatope;62;51;30;148;139;246;57;65.5;15.8;22.8;58.6;85.1;14.9;88.2;11.8;19.5;74.7;7.9;21.9;68.3;25.5;6.2;10.2;15.3;13.6;37.7;34;14.7;95.3;4.7;98.7;95.5;88.9;54.2;0.3;76.4;63.5;17;18.6;2.3;15.4;82.3;22.1;15.5;37.2;7.2;18.1
3103;Témala;40;12;17;56;58;153;62.8;63.7;13.7;21.4;56;78.9;21.1;81.8;18.2;12.7;82.2;8.4;25.2;82.3;6;11.7;0.7;5.3;40.4;33;15.2;11.3;84;16;97.9;88.3;75.9;65.6;0.4;75.5;56.3;25.5;22.6;0.4;11;88.7;22;11.7;37.9;9.2;19.1
3106;Tiéta;14;8;1;16;23;40;61.8;58.8;17.6;19.6;56.9;80.4;19.6;83.3;16.7;24.1;77.8;0;32.6;88.4;4.7;7;1.2;3.5;15.1;45.3;24.4;15.1;74.4;25.6;87.2;82.6;64;19.8;0.3;78.2;52.8;32.5;23.5;2.3;3.8;93.8;23.3;11.6;33.7;4.7;26.7
3201;Waho Touaourou Goro;12;35;5;47;90;164;72;67.1;17.3;26.1;58.4;83.3;16.7;88.1;11.9;50.5;49.1;2.9;45.3;92;5.8;2.2;1.5;4.4;45.3;28.8;19.3;6.6;64.6;35.4;97.4;91.6;84.7;14.2;0.5;74.2;52.1;29.7;15.6;1.3;2.3;96.4;20.8;9.1;38.3;8.4;23.4
3202;Unia Ouinné;11;4;4;27;42;122;78.1;83.8;9.5;32.4;61;85.7;14.3;78.1;21.9;30.1;59.3;14.8;36.3;96.6;1.7;1.7;0.6;1.1;59.8;18.4;21.2;0.6;88.8;11.2;95;86.6;82.7;4.5;0.6;65.1;45.3;30.5;6.7;0.9;7.1;91.9;13.4;8.4;45.3;7.8;25.1
3301;Kouaoua village - Amon Kasiori;11;25;5;38;44;153;71.4;70.7;11.6;19.9;62.3;80.8;19.2;83.7;16.3;40.9;60.4;3.6;31;39.9;0.9;59.2;0.9;0;22.1;21.1;29.1;27.7;82.2;17.8;96.2;89.7;80.8;29.1;0.1;71.6;57.3;20;17.8;1.4;7.7;91;20.2;12.7;35.7;6.1;25.4
3302;Méa Mébara - Ouérou Pimet;17;17;4;20;36;100;70.1;71.1;10.8;23.2;58.8;72.2;27.8;70.6;29.4;28.7;64.7;9.3;42.7;97.9;0.5;1.6;0;0.5;54.7;25.5;12;7.8;77.6;22.4;97.9;78.1;64.6;27.1;0.1;59.8;43.6;27.1;18;0.4;3.7;95.9;23.4;4.7;35.9;9.4;26.6
401;Canala village;66;29;18;68;108;198;62.8;56.5;23.2;24.4;55.2;71.3;28.7;74.5;25.5;37.9;56.8;6.9;42.3;89.4;5.1;5.5;1.4;3.7;42.5;21.7;22.5;13.3;86.3;13.7;98.2;81.2;59.7;14.3;0.2;60.1;38;36.8;20.3;1.2;7.3;91.5;20;10.6;34.4;8.8;26.2
403;Gélima - Nakéty;44;48;20;73;80;325;68.6;64.9;10;21.7;53.2;73.1;26.9;77.5;22.5;44.8;53.8;3.7;45.2;94.9;1.3;3.8;0.5;0.7;44.8;27.4;18;9.8;84.9;15.1;95.8;77.5;55.7;19.8;0.1;60.7;45.5;25;25.1;0.5;5.6;93.8;24.1;7.4;37;7.4;24
501;Coeur de ville urbain;6;58;82;329;640;515;70.9;70.9;20.6;18.3;73.1;87.7;12.3;93.6;6.4;13.4;68.2;20.6;27.7;23.1;75.5;1.5;56.5;19;12.5;54;28.5;5;99;1;98.3;98.1;93.1;58.1;0.7;72.5;62.2;14.2;8.5;5;30.6;64.4;18.5;16.5;36.5;13.1;15.4
502;Coeur de ville littoral;1;19;1;17;81;172;86.9;86.3;8.6;41.6;53.3;72.2;27.8;78;22;40.7;40.9;21.2;57.3;37.8;1.1;61;1.1;0;56.6;30.7;10.5;2.2;44.6;55.4;75.7;57.7;40.4;11.6;0.5;63.6;38.6;39.2;5.2;0.3;8.9;90.8;19.5;7.9;34.8;9.4;28.5
503;Koutio Secal;3;83;99;167;238;111;49.8;53.9;30.4;16.8;67.5;91;9;95.4;4.6;11.7;82;7.9;17;77.7;20.3;2;10.8;9.5;1.2;18.8;53;27;99.8;0.2;100;99.5;99.5;81.1;0.7;67.8;61.4;9.4;15.7;2.6;14.5;82.9;15.9;30.9;28.5;8.8;15.9
504;Koutio érudits;3;63;52;153;309;229;66.5;67;22;21.1;67.9;89.1;10.9;93.8;6.2;8.1;76.7;17.4;18.6;58.8;38.6;2.5;31.3;7.3;1.9;25.3;57.9;14.9;95.7;4.3;100;98.7;97.8;69.8;0.7;65.5;55;16.1;11;3.2;17.3;79.5;9.5;17.2;37.2;12.1;24
505;Koutio Fortunes de mer;4;75;77;188;294;157;56.7;59.5;28.7;18.6;69.6;93.3;6.7;96.6;3.4;7.3;85.3;9;12.3;80.3;15.7;4;0.5;15.2;1.6;12.6;58;27.9;98.3;1.7;99.1;99.3;99.1;83.2;0.7;68;59.9;11.9;11.8;8;13.7;78.3;8.7;20.2;37.9;7.3;26
506;Jacarandas I;3;68;40;195;537;497;77.2;77;15.7;21.6;71.1;87.9;12.1;90.7;9.3;12.9;64.4;26.1;36.8;38.1;61.8;0.1;60.1;1.7;12.4;42.7;38.3;6.6;93.9;6.1;99.9;99.3;95.8;53.1;0.7;68.5;56.6;17.3;7.3;0.7;12.6;86.7;9.8;10.2;46.4;10.8;22.8
507;Jacarandas II;0;52;22;102;271;150;70.5;70;18.1;26.8;61.3;88.4;11.6;93;7;14.2;74.3;12.9;17.9;91.2;2.1;6.7;0.6;1.5;0.9;29.9;66.9;2.3;99.7;0.3;100;99.1;97.7;72.1;0.6;73.4;61.5;16.2;11.9;2.4;8.5;89.1;12;10.6;30.5;9.4;37.5
508;Auteuil;4;119;77;277;417;267;58.9;60.4;25.3;19.8;65.9;91;9;91.7;8.3;7.5;85.6;8.3;18;61.4;35.9;2.7;9.3;26.6;6.8;28.4;44.8;20;98.9;1.1;98.6;98.1;95.8;70.2;0.6;72.9;68.1;6.6;14.3;4.2;23;72.8;19.6;22.9;31.5;10.4;15.7
509;Koghis;0;69;42;67;83;54;43.5;50.5;26;19.4;57.1;89.2;10.8;95.6;4.4;1.3;94.1;5.7;13.8;76.6;21.8;1.7;0;21.8;4.6;18;58.2;19.2;100;0;95.8;100;98.3;87.9;0.6;73.9;69.1;6.5;23.5;4.8;23.8;71.4;15.1;28.5;35.6;7.9;13
510;Dumbéa/mer Ouest;12;250;278;653;881;699;57;62.4;25.7;18.2;69.9;92.6;7.4;96.3;3.7;6.1;78.7;18.1;18.3;32.2;66.6;1.2;43.4;23.2;12.2;32.7;40;15.1;99;1;99.2;98.5;97.1;69.8;0.7;76;69.8;8.1;11.9;11.5;36.4;52.2;14.3;16.2;50;8.3;11.2
511;Dumbea/mer Est - Plaine Adam;7;149;87;361;629;674;68.3;71.7;18.5;17.5;72.7;91.1;8.9;95.3;4.7;8.4;71.2;23.7;25.8;26.8;73.1;0.1;56.6;16.5;4.7;39.4;48.1;7.8;99.1;0.9;99.8;98.8;96.9;60.3;0.6;74.7;65;13;9.8;5;32.7;62.3;8.4;12.4;54.1;10.6;14.4
512;Plaine de Koé;9;106;133;215;192;107;39.2;47.2;30.6;23.8;54.1;91.5;8.5;96.1;3.9;5.5;94.9;2;8.3;85.4;11.3;3.4;0;11.3;4.3;19;49.6;27.1;99.4;0.6;98;98.6;96.2;81.8;0.5;75;71.8;4.3;22.2;5.8;16.7;77.6;13.6;26.1;41.1;4;15.2
513;Nakutakoin;0;80;70;112;112;44;37.3;42.6;32.1;11.2;63.4;90.9;9.1;93.5;6.5;3.3;97.7;1.3;8.2;89.2;8.2;2.5;0;8.2;2.9;6.8;41.2;49.1;97.8;2.2;97.8;97.8;97.8;93.5;0.7;79.2;75.6;4.6;25.4;4.7;13.5;81.8;11.5;28.7;47.7;6.5;5.7
514;Nondoué La Couvelée;23;96;39;111;224;193;60.8;63.6;17.8;35.1;46.2;92.7;7.3;95.2;4.8;2;90.5;9.5;27.9;80.1;8.3;11.6;0;8.3;12.1;22.8;36.8;28.3;89.3;10.7;94.9;93.5;93.3;70.5;0.4;73.2;67.3;8.2;18.7;2.6;12;85.4;12.7;18.8;33.3;5.8;29.5
515;Katiramona Sud;21;120;89;178;340;371;63.5;68.2;19.5;30.2;57.5;90.8;9.2;92.9;7.1;6.1;85.3;11.1;24.9;86.9;10.4;2.7;2.1;8.3;15.6;14.6;49.7;20.1;99.2;0.8;99.1;99.1;97.7;73.3;0.5;71.7;65;9.3;12.3;0.9;8.1;91;8.9;18.3;37.5;6.3;29
516;Dzumac;0;0;0;0;0;0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0;N/A - division par 0
601;Farino;16;41;13;55;81;72;55;47.8;23;17.6;53.2;86;14;97.1;2.9;7.1;88.6;6.1;10.7;86.6;7.7;5.7;0;7.7;8.8;28;42.1;21.1;96.9;3.1;96.6;98.9;95.4;51;0.6;68.5;61.6;10;29.1;2.6;26.7;70.7;28;21.8;33.3;5.4;11.5
701;Hienghéne littoral;64;28;22;70;146;108;58;42.9;30.4;27.9;45.4;65.5;34.5;70.1;29.9;40;54.6;7.8;40.4;82.9;9.2;7.9;3.8;5.4;53;26.5;15.1;5.4;90.1;9.9;96.2;88.1;67;38.7;0.2;61.4;40.2;34.5;26.7;1.8;8.4;89.7;20.2;10.6;27.9;10.3;31
704;Tiendanite Ouayaguette;38;13;3;24;50;49;55.9;46.3;16.9;31.1;32.2;50.3;49.7;53.1;46.9;66.1;27.9;7.4;64.5;98.3;0.4;1.3;0;0.4;73.9;22.2;3;0.9;35.9;64.1;94.4;61.1;17.1;35.5;0.2;50.4;29;42.5;36.7;0.3;6.4;93.4;21.4;9;30.8;11.1;27.8
801;Houailou village;118;23;18;81;110;131;50.1;47;22.9;22.5;47.4;65.5;34.5;67.6;32.4;37.3;56.2;9.2;40.2;76.5;12.6;11;0;12.6;16.9;26.9;33.8;22.4;90.6;9.4;98.2;84.9;71.7;20.8;0.2;69.5;51.6;25.8;30.1;2.3;8.8;88.9;27.2;11;34.5;8.9;18.5
803;Warai;43;21;5;62;60;107;56;56;20.5;24.2;52.3;71.5;28.5;73.8;26.2;49.6;46.1;7.4;49.1;92.5;2.5;5;0.3;2.2;22.4;23.3;29.8;24.5;92.5;7.5;99.4;89.1;73.9;39.1;0.1;69.8;39.7;43.1;23.5;0.4;3.6;96;22;10.2;26.1;10.6;31.1
805;Nédivin - Bas Nindien;24;17;4;27;77;93;70.2;60.3;19;29.8;49.6;72.7;27.3;79.3;20.7;40.5;47.9;15.3;49.2;91.5;3.8;4.7;0;3.8;31.2;35.3;24.3;9.1;83;17;96.2;81.1;66.2;10.4;0.4;60;31.1;48.1;20.7;0.2;7.9;92;21.1;11.4;35.3;8.8;23.3
807;Boréaré - Coula - Karagreu;40;5;1;9;16;50;54.5;56.2;7.4;27.3;36.4;52.9;47.1;52.1;47.9;40.4;54;6.2;43.7;97.8;0;2.2;0;0;35.6;39.3;17.8;7.4;75.6;24.4;94.8;77;59.3;3;0.4;62.2;42.8;31.2;36.4;0;5.7;94.3;33.3;10.4;23;6.7;26.7
901;Vao;34;17;10;33;136;99;71.4;65.3;17.3;29.8;52.9;73.3;26.7;76.9;23.1;59.2;40.7;2.5;50;93;4;3;0;4;24.3;35.3;28.3;12;97.3;2.7;98;73.3;62.7;11;0.1;63.6;52.1;18.2;17.3;1.7;4.4;93.9;24.7;10;33.3;6.3;25.7
902;Kunié hors Vao;57;42;8;43;131;95;60.1;60.6;11.2;21.5;50.3;67.3;32.7;71.3;28.7;41.4;55.1;6.4;39.9;80.3;8;11.6;0;8;34.1;31.6;19.1;15.2;94.5;5.5;89.8;80.9;63.2;17.2;0;63.8;50.5;20.8;28.2;2.7;6.2;91.1;34.1;14.4;28.8;4.4;18.3
