PopGIS3 - Nouvelle Calédonie; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : iris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - agriculteurs-pêcheurs;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - d'artisans-commerçants;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - cadres;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - professions intermédiaires;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - employés;Répartition en 6 cat. de la CSP (Agri, artis, cadre, prof int, employé, ouvrier) - ouvriers;% employés et ouvriers;% salariés du privé;% salariés du public;% CDD (Contrat à Durée Déterminée);% CDI (Contrat à Durée Indéterminée);% actifs à temps complet;% actifs à temps partiel;% travail en continu;% travail saisonnier;% mode principal de transport = marche à pied;% mode principal de transport = voiture;% mode principal de transport = transport en commun;% ménages sans véhicules;% propriétaires;% locataires;% locataires gratuit;% locataires social;% locataires privés;% logements < 40 m²;% logements < 80 m²;% logements < 120 m²;% logements > 160 m²;% ménages raccordés au réseau d'électricité;% ménages non raccordés au réseau d'électricité;% de ménages avec point d'eau courante individuelle;% ménages réfrigérateur;% ménages machine à laver;% ménages accès à internet;Taux de navetteurs sortant;Taux d'activité (15-64 ans);Taux d'emploi;Taux de chômage;% travailleurs indépendants;% pers. ne résidant pas en Nouvelle Calédonie en 2014;% pers. résidant dans une autre commune en 2014;% pers. résidant dans la même commune en 2014;% pers. seules;% couples sans enfant(s);% couples avec enfant(s);% familles monoparentales;% ménages complexes
1703;Pont des Fran‡ais;1;55;42;101;140;97;54.4;54.8;21.8;14;62.6;89.9;10.1;95;5;4.9;89.9;7.8;10;45.2;45.2;9.7;9.7;35.5;3.7;26.4;56.2;13.7;100;0;98.3;98.7;96.3;74.2;0.7;74.4;68.4;8;23.4;8.3;21.3;70.4;18.1;18.1;37.8;9;17.1
1704;La Conception;2;22;30;103;148;124;63.4;62.7;23.3;23.3;62.7;90.7;9.3;91.8;8.2;10.6;88.2;3;10.5;77.6;14.7;7.7;0;14.7;8.4;29;40.6;22;99.7;0.3;98.6;99;97.9;76.9;0.6;74;63.8;13.7;14;4.7;14.4;80.9;12.9;15.7;28.3;12.2;30.8
1705;Robinson Nord;0;85;72;176;213;170;53.5;56.8;23.6;13.8;66.6;89;11;94.8;5.2;5.9;91.9;4.5;12.2;76.8;19.5;3.8;12.2;7.3;1.5;18.1;56.6;23.7;99.6;0.4;98.9;100;97.3;80.3;0.7;75.2;67.5;10.3;19.6;5.6;11.5;82.9;13.9;19.5;34.1;10.4;22.1
1706;Robinson Sud;2;200;180;393;453;409;52.7;58.6;20.5;13.6;65.6;89.1;10.9;94;6;7;87.8;7.3;10.2;72.5;25.1;2.4;10.7;14.4;3.1;24.1;50.9;21.9;99.7;0.3;99.5;99.7;97.8;76;0.7;73.1;66.9;8.4;20.8;3.7;18.1;78.2;16.3;21.4;36.4;9.2;16.7
1707;Boulari;4;104;88;267;377;255;57.7;65;20.3;14.8;70.5;90.3;9.7;96.1;3.9;10;82.1;10;16.9;39.7;58.6;1.7;26.7;32;8.5;38.9;39.9;12.7;99.4;0.6;97.9;97.7;97.6;73.2;0.7;72.4;64.7;10.6;14.7;6.8;21.4;71.8;16.6;21.2;36.3;12.9;13
1708;Saint Michel;1;64;99;207;254;202;55.1;63.7;22.9;17.3;69.3;90;10;95.2;4.8;6.7;88.6;6.5;13.7;67.6;29.9;2.5;14;15.9;4.3;27.8;45.5;22.4;99.5;0.5;99.8;99.3;99.2;75.4;0.7;67.7;60.9;10.1;13.4;4;17.2;78.8;12;24.9;35.6;7.4;20.1
1709;Saint Louis;19;14;23;45;164;224;79.3;70.6;20.2;27.2;63.6;79.8;20.2;84;16;13.3;63.9;25.7;43.5;91.4;0.3;8.4;0;0.3;34.4;21.8;28.9;14.9;87.1;12.9;94.7;85.6;79;25.6;0.5;66.9;50;25.2;9.2;0.8;5.7;93.5;14.4;6.1;37;8.6;33.9
1710;La Coulée Nord;10;49;25;96;152;184;65.1;68.2;16.5;21.9;62.8;85.7;14.3;93.6;6.4;12;80.2;10.6;17.6;71.9;19.4;8.7;10;9.5;11.8;28.9;45.5;13.8;95.7;4.3;89.5;95.7;91.8;58.6;0.5;66.6;56;15.8;15.3;0.8;14.8;84.4;12;15.6;38.6;9.2;24.6
1711;La Coulée Sud;2;51;38;166;268;306;69.1;69.3;17.6;20.5;66.4;86.8;13.2;94.3;5.7;12;80.8;8.8;12.6;79.6;12.7;7.7;0.3;12.4;12.7;34;40.7;12.6;97.5;2.5;94.8;97.2;94.8;69.8;0.5;67.9;58.4;14;13.1;2.9;8.3;88.8;13.1;21.4;37.5;6;21.9
1712;Vallon Dore;4;109;78;253;242;278;53.9;59.4;22.5;17.2;64.7;92;8;96.7;3.3;3.7;78.3;21.5;19.9;64.1;27.2;8.7;12.5;14.8;13.2;28;39.7;19;95.2;4.8;99.1;96.3;95.1;70.5;0.6;70.7;60.8;14;18;7.3;16.7;76;15;20.8;41.4;9.7;13.1
