commune;num_bv;bv;inscrits;votants;abstention;nuls;blancs;exprimes;oui;non
PAITA;9;École élémentaire Scheffleras 1;751.0;604.0;147;5;6;593;191;402
PAITA;10;École élémentaire Scheffleras 2;794.0;684.0;110;4;16;664;178;486
PAITA;12;École maternelle Scheffleras 2;572.0;508.0;64;7;2;499;88;411
PAITA;13;École primaire Jean Ounou COTTIN 1;774.0;671.0;103;5;5;661;158;503
PAITA;14;École primaire Jean Ounou COTTIN 2;797.0;700.0;97;8;6;686;434;252
POINDIMIE;2;Ouindo;499.0;441.0;58;10;6;425;371;54
POINDIMIE;7;Tiéti;540.0;486.0;54;4;5;477;418;59
PONERIHOUEN;4;Goa;379.0;324.0;55;2;2;320;305;15
PONERIHOUEN;5;Grondu;495.0;437.0;58;4;2;431;405;26
POYA;2;Gohapin;446.0;380.0;66;2;0;378;362;16
POYA;4;Montfaoué;250.0;217.0;33;0;1;216;212;4
POYA;6;Nékliai;190.0;169.0;21;0;0;169;154;15
SARRAMEA;1;Mairie;506.0;472.0;34;3;4;465;339;126
THIO;3;Grand Borendy;309.0;254.0;55;2;0;252;242;10
THIO;4;Saint-Pierre;441.0;389.0;52;6;3;380;363;17
TOUHO;4;Paola;402.0;347.0;55;0;0;347;331;16
YATE;4;Unia;753.0;663.0;90;2;0;661;625;36
KAALA-GOMEN;6;Ouaco;193.0;170.0;23;0;2;168;56;112
KONE;7;Néami;208.0;181.0;27;1;0;180;146;34
KONE;8;Baco;397.0;364.0;33;2;0;362;323;39
KOUAOUA;1;Mairie;558.0;468.0;90;3;3;462;296;166
LIFOU;3;Drueulu;581.0;344.0;237;1;1;342;318;24
LIFOU;5;Jokin;383.0;199.0;184;5;1;193;177;16
LIFOU;9;Hnacaöm;190.0;101.0;89;0;1;100;67;33
LIFOU;19;Traput;335.0;157.0;178;1;1;155;121;34
LIFOU;20;Kedeigne;404.0;204.0;200;0;2;202;171;31
LIFOU;22;Hunëtë;179.0;109.0;70;2;0;107;102;5
ILE DES PINS;2;Bâtiment communal Point Information;675.0;558.0;117;2;4;552;396;156
MARE;12;Eni;335.0;169.0;166;1;0;168;146;22
MONT-DORE;8;Groupe scolaire de Boulari 1;791.0;675.0;116;9;7;659;73;586
