tour,date_scrutin,page,commune_code,commune_code_court,commune,nuance,numero_liste_municipale,tete_liste,voix,pct_inscrits,pct_exprimes,sieges,liste_municipale,source_pdf,source_url
1,2026-03-15,8,98808,08,Houaïlou,LDIV,2,Nadège MINDIA,172,4.63,7.86,0,GERE GUNIMA MA VI TA BE VEKI WAAWIILII,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,8,98808,08,Houaïlou,LREG,3,Jean Luc Louka MAHE,340,9.16,15.55,0,UNI WAA WI LUU,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,8,98808,08,Houaïlou,LDIV,4,Angie - Singride BOEHE,336,9.05,15.36,0,ERE MA WAA,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,8,98808,08,Houaïlou,LDVD,5,Maurice WATANABÉ,255,6.87,11.66,0,WAWILU 2026 POUR LE CHANGEMENT,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,9,98809,09,L'Ile-des-Pins,,1,Regis Wadieme VENDEGOU,296,15.85,23.11,0,KWENYII UNI,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,9,98809,09,L'Ile-des-Pins,,2,Daniel Patrick KOUATHE,380,20.34,29.66,0,FLNKS KWENYII,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,9,98809,09,L'Ile-des-Pins,,3,Christophe VAKIE,162,8.67,12.65,0,Eveil Kunié,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,9,98809,09,L'Ile-des-Pins,,4,Eugène VAMA,186,9.96,14.52,0,MOUVEMENT DE LA JEUNESSE KWENYII,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,9,98809,09,L'Ile-des-Pins,,5,Guillaume KOUATHE,257,13.76,20.06,0,KUNIE ENTENTE COMMUNALE,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
1,2026-03-15,10,98810,10,Kaala-Gomen,,1,Pablo POY-YETHY,282,15.6,20.84,0,UNIS POUR BWAPANU,data/elections/data_raw/municipales_2026/municipales_2026_t1_resultats_988_0135.pdf,https://www.nouvelle-caledonie.gouv.fr/contenu/telechargement/13122/109633/file/Municipales%2B2026%2B-%2BR%C3%A9sultats%2B-%2B988%2B-%2BNouvelle-Cal%C3%A9donie_2026-03-17_01h35.pdf
